会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
ユニチカテキスタイル株式会社,1120001091703,"繊維工業（衣服,その他の繊維製品を除く）",〒719-1133岡山県総社市中原88,0866931251（0866-93-1251）,50000（千円）,山上　清（ヤマガミ キヨシ）
株式会社アイオーテック,1240001040672,一般機械器具製造業,〒714-0064岡山県笠岡市西茂平24-2,0865662423（0865-66-2423）,5000（千円）,代表取締役社長／大山　隆文（オオヤマ タカフミ）
株式会社浅利電機,1260001000286,電気機械器具製造業,〒704-8173岡山県岡山市東区可知5-140-12,0869430711（086-943-0711）,20000（千円）,渡辺　信二（ワタナベ シンジ）
株式会社アマノ,1260001000352,食料品・飼料・飲料製造業,〒700-0941岡山県岡山市北区青江1-10-15,0862237826（086-223-7826）,10000（千円）,代表取締役社長／天野　修一（アマノ シユウイチ）
株式会社板野酒造本店,1260001000518,食料品・飼料・飲料製造業,〒701-1462岡山県岡山市北区大井2272,0862950025（086-295-0025）,10000（千円）,板野　文伸（イタノ フミノブ）
永真工業株式会社,1260001000716,一般機械器具製造業,〒700-0951岡山県岡山市北区田中136-109,0862432002（086-243-2002）,20000（千円）,山本　槇一（ヤマモト シンイチ）
株式会社岡山製紙,1260001001078,パルプ・紙・紙加工品製造業,〒700-0845岡山県岡山市南区浜野1-4-34,0862621101（086-262-1101）,821070（千円）,代表取締役社長／津川　孝太郎（ツガワ コウタロウ）
株式会社オーエス技研,1260001001383,輸送用機械器具製造業,〒702-8001岡山県岡山市中区沖元464,0862776609（086-277-6609）,10000（千円）,代表取締役社長／田畑　利彦（タバタ トシヒコ）
オージー技研株式会社,1260001001417,精密機械・医療機械器具製造業,〒703-8261岡山県岡山市中区海吉1835-7,0862777181（086-277-7181）,100000（千円）,代表取締役社長／奥田　宏（オクダ ヒロシ）
オカネツ工業株式会社,1260001001581,一般機械器具製造業,〒704-8161岡山県岡山市東区九蟠1119-1,0869483981（086-948-3981）,70000（千円）,代表取締役社長／和田　俊博（ワダ トシヒロ）
株式会社カイタックインターナショナル,1260001001714,衣服・その他の繊維製品製造業,〒700-0032岡山県岡山市北区昭和町3-12,0862553555（086-255-3555）,200000（千円）,代表取締役社長／貝畑　雅二（カイハタ マサジ）
株式会社金岡物産圃,1260001001838,食料品・飼料・飲料製造業,〒700-0805岡山県岡山市北区兵団1-19,0869951618（086-995-1618）,30000（千円）,代表取締役社長／奥田　雅己（オクダ マサミ）
カバヤ食品株式会社,1260001001862,食料品・飼料・飲料製造業,〒709-2117岡山県岡山市北区御津野々口1100,0867244300（086-724-4300）,100000（千円）,代表取締役社長／野津　基弘（ノヅ モトヒロ）
株式会社烏城彫協会,1260001001937,その他の製造業,〒700-0814岡山県岡山市北区天神町5-1木口ビル1階,0862254561（086-225-4561）,9700（千円）,木口　省吾（キグチ シヨウゴ）
