会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社英,1020001007124,金属製品製造業,〒028-3111岩手県花巻市石鳥谷町新堀第62地割152-2,0198452435（0198-45-2435）,10000（千円）,代表取締役社長／橋本　英二（ハシモト エイジ）
株式会社トマス,1370501000898,一般機械器具製造業,〒029-2204岩手県陸前高田市気仙町湊39-1,0192475015（0192-47-5015）,3000（千円）,佐々木　孝行（ササキ タカユキ）
大場印刷工業株式会社,1400001000379,出版・印刷・同関連産業,〒020-0062岩手県盛岡市長田町14-31,0196233228（019-623-3228）,10000（千円）,五日市　武夫（イツカイチ タケオ）
サンプロセス工芸株式会社,1400001000701,出版・印刷・同関連産業,〒020-0122岩手県盛岡市みたけ3-4-35,0196412501（019-641-2501）,10000（千円）,柳原　亮治（ヤナギハラ リヨウジ）
杜陵高速印刷株式会社,1400001001179,出版・印刷・同関連産業,〒020-0811岩手県盛岡市川目町23-2,0196512110（019-651-2110）,95000（千円）,代表取締役社長／西野　代良（ニシノ シロヨシ）
エヌケー紫波株式会社,1400001003852,金属製品製造業,〒028-3451岩手県紫波郡紫波町稲藤升形201,0196738100（019-673-8100）,225000（千円）,小野　勘（オノ カン）
フクビハウジング株式会社,1400001003885,その他の製造業,〒028-3452岩手県紫波郡紫波町片寄下谷地738,0196738252（019-673-8252）,200000（千円）,代表取締役社長／川瀬　慎一郎（カワセ シンイチロウ）
ピーエス株式会社,1400001004149,金属製品製造業,〒028-7301岩手県八幡平市野駄第3地割345,0195783733（0195-78-3733）,20000（千円）,代表取締役社長／平山　禎久（ヒラヤマ ヨシヒサ）
ミドリアパレル中央株式会社,1400001004207,衣服・その他の繊維製品製造業,〒028-5402岩手県岩手郡葛巻町葛巻第7地割64-1,0195663100（0195-66-3100）,10000（千円）,川代　利幸（カワダイ トシユキ）
株式会社石神製作所,1400001005221,一般機械器具製造業,〒025-0036岩手県花巻市中根子堂前38,0198234843（0198-23-4843）,10000（千円）,阿部　一郎（アベ イチロウ）
岩手砕石株式会社,1400001005254,窯業・土石製品製造業,〒025-0024岩手県花巻市山の神797-1,0198676301（0198-67-6301）,10000（千円）,千葉　和弘（チバ カズヒロ）
川辺産業株式会社,1400001005270,金属製品製造業,〒025-0015岩手県花巻市東十二丁目第19地割10-6,0198224119（0198-22-4119）,34000（千円）,川邊　助之（カワベ スケユキ）
株式会社高清物産,1400001005295,食料品・飼料・飲料製造業,〒025-0134岩手県花巻市南笹間1-385,0198292233（0198-29-2233）,20000（千円）,高橋　清道（タカハシ キヨミチ）
サンポット株式会社,1400001005717,金属製品製造業,〒025-0301岩手県花巻市北湯口第2地割1-26,0198371115（0198-37-1115）,962200（千円）,代表取締役社長／眞賀　幸八（マガ コウハチ）
株式会社青木家具製作所,1400001005741,家具・装備品製造業,〒025-0036岩手県花巻市中根子弐拾弐神明41-2,0198246750（0198-24-6750）,10000（千円）,青木　信介（アオキ シンスケ）
株式会社東和プラム,1400001005832,衣服・その他の繊維製品製造業,〒028-0114岩手県花巻市東和町土沢1区89-1,0198431181（0198-43-1181）,3000（千円）,菅谷　幹雄（スガヤ ミキオ）
岩手製鉄株式会社,1400001005972,"鉄鋼業,非鉄金属製造業",〒024-0334岩手県北上市和賀町藤根18地割14,0197735121（0197-73-5121）,80000（千円）,代表取締役社長／佐藤　満義（サトウ ミツギ）
株式会社高勇,1400001006145,その他の製造業,〒024-0004岩手県北上市村崎野22地割83-12,0197682371（0197-68-2371）,20000（千円）,代表取締役社長／高橋　勇雄（タカハシ イサオ）
株式会社東北佐竹製作所,1400001006178,一般機械器具製造業,〒024-0032岩手県北上市川岸1-16-1,0197641111（0197-64-1111）,50000（千円）,代表取締役社長／佐竹　利子（サタケ トシコ）
東北ユーロイド工業株式会社,1400001006186,化学工業,〒024-0004岩手県北上市村崎野14地割453-5,0197662031（0197-66-2031）,80000（千円）,代表取締役社長／鈴木　成一（スズキ セイイチ）
ハイプラ化成株式会社,1400001006211,その他の製造業,〒024-0004岩手県北上市村崎野8地割92-5,0197682035（0197-68-2035）,12000（千円）,代表取締役社長／小山　昭彦（オヤマ アキヒコ）
石山水産株式会社,1400001007028,食料品・飼料・飲料製造業,〒028-1343岩手県下閉伊郡山田町境田町3-13,0193822991（0193-82-2991）,20000（千円）,石山　勝貴（イシヤマ カツタカ）
株式会社岩泉産業開発,1400001007143,食料品・飼料・飲料製造業,〒027-0502岩手県下閉伊郡岩泉町乙茂乙茂90-1,0194224432（0194-22-4432）,426000（千円）,代表取締役社長／山下　欽也（ヤマシタ キンヤ）
大和水産株式会社,1400001007250,食料品・飼料・飲料製造業,〒028-1311岩手県下閉伊郡山田町大沢第10地割78,0193824011（0193-82-4011）,25000（千円）,鈴木　將弘（スズキ マサヒロ）
南部屋産業株式会社,1400001007473,木材・木製品製造業（家具を除く）,〒028-1121岩手県上閉伊郡大槌町小鎚第21地割61-1,0193428187（0193-42-8187）,10000（千円）,小笠原　正年（オガサワラ マサトシ）
株式会社佐幸商店,1400001007639,食料品・飼料・飲料製造業,〒027-0081岩手県宮古市新川町5-6,0193621719（0193-62-1719）,6000（千円）,佐々木　善明（ササキ ヨシアキ）
株式会社阿部繁孝商店,1400001007655,食料品・飼料・飲料製造業,〒028-6101岩手県二戸市福岡町裏21-1,0195232111（0195-23-2111）,95040（千円）,阿部　繁之（アベ シゲユキ）
株式会社一戸製材所,1400001007663,木材・木製品製造業（家具を除く）,〒028-5311岩手県二戸郡一戸町高善寺古舘平40-2,0195332321（0195-33-2321）,10000（千円）,梅垣　俊輔（ウメガキ シユンスケ）
株式会社上戸工業,1400001007688,窯業・土石製品製造業,〒028-5711岩手県二戸市金田一下山井4-17,0195273231（0195-27-3231）,10000（千円）,代表取締役社長／上戸　善治（カミト ヨシハル）
コイルテック株式会社,1400001007713,電気機械器具製造業,〒028-6106岩手県二戸市仁左平戸花53,0195234121（0195-23-4121）,30000（千円）,沢藤　幸雄（サワフジ サチオ）
株式会社夢実耕望,1400001007845,食料品・飼料・飲料製造業,〒028-6902岩手県二戸市浄法寺町明神沢56-2,0195391104（0195-39-1104）,66000（千円）,小林　金夫（コバヤシ カネオ）
