会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社太陽電機製作所,1280001000441,電気機械器具製造業,〒690-0021島根県松江市矢田町250-100,0852243674（0852-24-3674）,19000（千円）,代表取締役社長／景山　文雄（カゲヤマ フミオ）
株式会社丸熊,1280001000747,パルプ・紙・紙加工品製造業,〒690-0888島根県松江市北堀町320,0852214566（0852-21-4566）,10000（千円）,引野　泰男（ヒキノ ヤスオ）
渡部印刷株式会社,1280001000813,出版・印刷・同関連産業,〒690-0874島根県松江市中原町192,0852216231（0852-21-6231）,20000（千円）,渡部　彰夫（ワタナベ アキオ）
株式会社石倉ポンプ製作所,1280001000846,一般機械器具製造業,〒699-0109島根県松江市東出雲町錦浜583-15,0852522345（0852-52-2345）,10600（千円）,石倉　一親（イシクラ カズミ）
株式会社野原熱錬工作所,1280001000870,金属製品製造業,〒699-0108島根県松江市東出雲町出雲郷86-1,0852522131（0852-52-2131）,24580（千円）,代表取締役社長／森本　秋雄（モリモト アキオ）
株式会社ヤスイ,1280001000879,一般機械器具製造業,〒699-0101島根県松江市東出雲町揖屋2295,0852522049（0852-52-2049）,31000（千円）,安井　美那子（ヤスイ ミナコ）
島根ビール株式会社,1280001000961,食料品・飼料・飲料製造業,〒690-0876島根県松江市黒田町509-1,0852558355（0852-55-8355）,50000（千円）,矢野　学（ヤノ マナブ）
株式会社オダチ,1280001001010,金属製品製造業,〒690-0021島根県松江市矢田町250-10,0852214555（0852-21-4555）,10000（千円）,小立　森高（オダチ モリタカ）
さんきゅう印刷株式会社,1280001002594,出版・印刷・同関連産業,〒690-0021島根県松江市矢田町215-1,0852312139（0852-31-2139）,10000（千円）,小畑　彰（オバタ アキラ）
伝心堂株式会社,1280001002776,輸送用機械器具製造業,〒690-0323島根県松江市鹿島町手結1108-1,0852676853（0852-67-6853）,3000（千円）,安達　京三（アダチ キヨウゾウ）
株式会社イズコン,1280001003056,窯業・土石製品製造業,〒693-0011島根県出雲市大津町1778-1,0853232633（0853-23-2633）,80000（千円）,代表取締役社長／福田　康伴（フクダ ヤストモ）
エイコー電子工業株式会社,1280001003106,電気機械器具製造業,〒693-0033島根県出雲市知井宮町5-1,0853228489（0853-22-8489）,53328（千円）,代表取締役社長／澤本　浩（サワモト ヒロシ）
金山工業株式会社,1280001003122,窯業・土石製品製造業,〒693-0066島根県出雲市高岡町462-1,0853251483（0853-25-1483）,20000（千円）,金山　利行（カナヤマ トシユキ）
アルファー食品株式会社,1280001003469,食料品・飼料・飲料製造業,〒699-0722島根県出雲市大社町北荒木645,0853532518（0853-53-2518）,36000（千円）,代表取締役社長／森山　信雄（モリヤマ ノブオ）
株式会社島根ワイナリー,1280001003477,食料品・飼料・飲料製造業,〒699-0733島根県出雲市大社町菱根264-2,0853535577（0853-53-5577）,80000（千円）,代表取締役社長／岡　良美（オカ ヨシミ）
株式会社香り芽本舗,1280001003493,食料品・飼料・飲料製造業,〒699-0904島根県出雲市多伎町口田儀908-1,0853862268（0853-86-2268）,13500（千円）,代表取締役社長／藤原　伸一（フジハラ シンイチ）
ヒラタ精機株式会社,1280001003675,輸送用機械器具製造業,〒691-0015島根県出雲市西郷町718,0853623600（0853-62-3600）,50000（千円）,山岡　孝（ヤマオカ コウ）
武永印刷株式会社,1280001003832,出版・印刷・同関連産業,〒693-0056島根県出雲市江田町205-2,0853211810（0853-21-1810）,30000（千円）,鎌田　敬治（カマダ タカハル）
仁摩電器株式会社,1280001003989,電気機械器具製造業,〒699-2301島根県大田市仁摩町仁万705,0854882347（0854-88-2347）,10000（千円）,大畑　拓治（オオハタ タクジ）
株式会社大磯,1280001004260,食料品・飼料・飲料製造業,〒697-0017島根県浜田市原井町3050-20,0855234838（0855-23-4838）,13000（千円）,代表取締役社長／大地本　和史（オオジモト カズシ）
株式会社ケイ・アンド・アイ,1280001004574,その他の製造業,〒695-0001島根県江津市渡津町76-2,0855526407（0855-52-6407）,10000（千円）,入江　成夫（イリエ シゲオ）
株式会社エーエム工業,1280001004913,一般機械器具製造業,〒699-0108島根県松江市東出雲町出雲郷673-3,0852526505（0852-52-6505）,10000（千円）,橋本　雅（ハシモト マサシ）
アケボノ株式会社,1280001004962,一般機械器具製造業,〒699-5121島根県益田市左ヶ山町ロ167-1,0856231682（0856-23-1682）,31500（千円）,代表取締役社長／吉部　大史朗（ヨシベ ダイシロウ）
株式会社みやこ編物,1280001005011,衣服・その他の繊維製品製造業,〒698-0026島根県益田市あけぼの本町2-6,0856232566（0856-23-2566）,35000（千円）,齋藤　庸宣（サイトウ ツネノリ）
株式会社海中景観研究所,1280001005416,窯業・土石製品製造業,〒685-0106島根県隠岐郡隠岐の島町蛸木後谷622-1,0851262341（08512-6-2341）,20000（千円）,伊良部　善久（イラベ ヨシヒサ）
株式会社ファデコ,1280001005564,一般機械器具製造業,〒692-0205島根県安来市伯太町安田中340-8,0854371217（0854-37-1217）,49500（千円）,代表取締役社長／藤原　敏孝（フジハラ トシタカ）
株式会社ゼンキンメタル,1280001005606,一般機械器具製造業,〒699-1311島根県雲南市木次町里方1079-1,0854425318（0854-42-5318）,13000（千円）,代表取締役社長／多久和　英紀（タクワ ヒデノリ）
株式会社仁多電子工業,1280001005630,電気機械器具製造業,〒699-1701島根県仁多郡奥出雲町亀嵩1372,0854570246（0854-57-0246）,24400（千円）,藤原　充博（フジハラ ミツヒロ）
出雲林業株式会社,1280001005639,木材・木製品製造業（家具を除く）,〒699-1821島根県仁多郡奥出雲町稲原1256,0854521051（0854-52-1051）,10000（千円）,景山　裕（カゲヤマ ユウ）
株式会社ＭＴＩ,1280001005795,電気機械器具製造業,〒699-1311島根県雲南市木次町里方1107-14,0854428033（0854-42-8033）,5000（千円）,畑　良一（ハタ リヨウイチ）
株式会社ハーモバック,1280001005993,その他の製造業,〒698-2142島根県益田市市原町イ566-1,0856311745（0856-31-1745）,1000（千円）,桐田　和典（キリタ カズノリ）
株式会社Ａｓｓｉｓｔ１２,1280001006604,"鉄鋼業,非鉄金属製造業",〒692-0011島根県安来市安来町806-1プラティークビラ203,0854339020（0854-33-9020）,10000（千円）,赤名　昌典（アカナ マサノリ）
