会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
環境エネルギー株式会社,1010601044419,一般機械器具製造業,〒721-0952広島県福山市曙町6-9-24,0335221150（03-3522-1150）,80000（千円）,野田　修嗣（ノダ シユウジ）
株式会社アールテック・リジョウ,1240001000263,電気機械器具製造業,〒731-5127広島県広島市佐伯区五日市7-9-32,0829212292（082-921-2292）,10000（千円）,石本　英和（イシモト ヒデカズ）
株式会社アシェット,1240001000387,衣服・その他の繊維製品製造業,〒731-5111広島県広島市佐伯区美鈴が丘東4-5-14,0829273191（082-927-3191）,10000（千円）,立川　義則（タツガワ ヨシノリ）
アローテクノ株式会社,1240001000610,電気機械器具製造業,〒731-5152広島県広島市佐伯区五日市町下河内675-1,0829276838（082-927-6838）,10000（千円）,玖村　誠司（クムラ セイジ）
市場重工株式会社,1240001000874,一般機械器具製造業,〒733-0036広島県広島市西区観音新町1-1-21,0822311382（082-231-1382）,13000（千円）,市場　昭司（イチバ シヨウジ）
岩橋電算写植株式会社,1240001001006,出版・印刷・同関連産業,〒730-0037広島県広島市中区中町1-6いわはし内,0822474430（082-247-4430）,20000（千円）,岩橋　温晉（イワハシ ハルユキ）
株式会社Ｓ・Ｔゾロ,1240001001377,その他の製造業,〒730-0845広島県広島市中区舟入川口町2-37,0822312158（082-231-2158）,10000（千円）,見附　丈尚（ミツケ タケナオ）
エヌエス電機株式会社,1240001001427,電気機械器具製造業,〒734-0011広島県広島市南区宇品海岸1-2-5,0822512010（082-251-2010）,10000（千円）,藤岡　鉄洲（フジオカ テツシユウ）
大谷計器株式会社,1240001001740,電気機械器具製造業,〒732-0052広島県広島市東区光町2-10-23,0822636896（082-263-6896）,10000（千円）,大谷　一成（オオタニ カズナリ）
株式会社オカモト,1240001001914,一般機械器具製造業,〒731-0135広島県広島市安佐南区長束6-9-13-4,0828740702（082-874-0702）,10000（千円）,山崎　僚二（ヤマサキ リヨウジ）
株式会社カシワギ,1240001002219,一般機械器具製造業,〒731-5123広島県広島市佐伯区五日市町昭和台32-9,0829216377（082-921-6377）,18000（千円）,柏木　栄一（カシワギ エイイチ）
株式会社旭東機工,1240001002771,一般機械器具製造業,〒734-0036広島県広島市南区旭3-2-1,0822546366（082-254-6366）,10000（千円）,鍵山　顯次（カギヤマ ケンジ）
株式会社九嶺堂,1240001002937,その他の製造業,〒730-0852広島県広島市中区猫屋町8-14,0822321151（082-232-1151）,20000（千円）,木戸　貴英（キド タカヒデ）
