会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社三和創研,1470001006576,その他の製造業,〒771-0202徳島県板野郡北島町太郎八須新開1-10,0886986877（088-698-6877）,24000（千円）,山地　一慶（ヤマヂ カズヨシ）
内村食品工業株式会社,1480001000264,食料品・飼料・飲料製造業,〒770-0931徳島県徳島市富田浜1-29,0886524517（088-652-4517）,10000（千円）,内村　道子（ウチムラ ミチコ）
サウンドサイエンス株式会社,1480001000710,電気機械器具製造業,〒770-8041徳島県徳島市上八万町西山436,0886442222（088-644-2222）,10000（千円）,角元　純一（カクモト ジユンイチ）
三光水産株式会社,1480001000735,食料品・飼料・飲料製造業,〒770-0872徳島県徳島市北沖洲4-1-38徳島市中央卸売市場内,0886282632（088-628-2632）,10000（千円）,澤田　悦治（サワダ エツジ）
株式会社ディーディーインテックス,1480001000958,衣服・その他の繊維製品製造業,〒770-8032徳島県徳島市北山町下田尻1-3,0886693600（088-669-3600）,10000（千円）,代表取締役社長／山岡　敬（ヤマオカ ケイ）
瀬尾印刷株式会社,1480001001246,出版・印刷・同関連産業,〒770-0823徳島県徳島市出来島本町1-46,0886258899（088-625-8899）,10000（千円）,瀬尾　昇（セオ ノボル）
株式会社ＴＮＫ,1480001001345,一般機械器具製造業,〒770-0062徳島県徳島市不動東町5-745-1,0886311268（088-631-1268）,10000（千円）,寺内　靖之（テラウチ ノブユキ）
徳島県教育印刷株式会社,1480001001411,出版・印刷・同関連産業,〒770-0873徳島県徳島市東沖洲2-1-13,0886646776（088-664-6776）,12000（千円）,代表取締役社長／酒巻　正（サカマキ タダシ）
林金属工業株式会社,1480001001907,金属製品製造業,〒770-0064徳島県徳島市不動西町1-357-1,0886340550（088-634-0550）,10000（千円）,林　雄司（ハヤシ ユウジ）
四セロ産業株式会社,1480001002087,パルプ・紙・紙加工品製造業,〒771-1153徳島県徳島市応神町吉成只津37,0886411221（088-641-1221）,10000（千円）,眞鍋　睦夫（マナベ チカオ）
