会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社新来島どっく,1010001045595,輸送用機械器具製造業,〒799-2203愛媛県今治市大西町新町甲945,0898365511（0898-36-5511）,1737500（千円）,代表取締役社長／曽我　哲司（ソガ テツジ）
日進工業有限会社,1470002012689,輸送用機械器具製造業,〒793-0027愛媛県西条市朔日市22-1,0897551677（0897-55-1677）,3000（千円）,篠井　誠二郎（シノイ セイジロウ）
エクセレント精工株式会社,1500001000930,一般機械器具製造業,〒791-1116愛媛県松山市南土居町554,0899753393（089-975-3393）,10000（千円）,池本　義明（イケモト ヨシアキ）
三共機工株式会社,1500001001763,一般機械器具製造業,〒790-0813愛媛県松山市萱町6-166,0899225700（089-922-5700）,10000（千円）,栗原　慎一（クリハラ シンイチ）
ＴＭトミオカ株式会社,1500001002919,衣服・その他の繊維製品製造業,〒791-1121愛媛県松山市中野町130,0899937896（089-993-7896）,20000（千円）,宮道　享（ミヤミチ ススム）
南海プリント株式会社,1500001002968,出版・印刷・同関連産業,〒790-0051愛媛県松山市生石町449-3,0899430770（089-943-0770）,25000（千円）,代表取締役社長／鈴木　茂（スズキ シゲル）
日本精密株式会社,1500001003066,金属製品製造業,〒791-1132愛媛県松山市久谷町甲97-7,0899631169（089-963-1169）,10000（千円）,金森　秀満（カナモリ ヒデミツ）
株式会社ムラコー,1500001004089,金属製品製造業,〒791-1121愛媛県松山市中野町甲1083,0899608877（089-960-8877）,10000（千円）,村上　英富（ムラカミ ヒデトミ）
株式会社柳櫻堂,1500001004411,食料品・飼料・飲料製造業,〒790-0012愛媛県松山市湊町4-5-1,0899433303（089-943-3303）,15000（千円）,平松　輝泰（ヒラマツ テルヤス）
トータスエンジニアリング株式会社,1500001004667,輸送用機械器具製造業,〒791-3131愛媛県伊予郡松前町北川原700,0899841851（089-984-1851）,50000（千円）,代表取締役社長／花岡　克久（ハナオカ カツヒサ）
はぎの食品株式会社,1500001004923,食料品・飼料・飲料製造業,〒791-3161愛媛県伊予郡松前町神崎714-1,0899841603（089-984-1603）,10000（千円）,代表取締役社長／西岡　孝徳（ニシオカ タカノリ）
株式会社三福水産,1500001005252,食料品・飼料・飲料製造業,〒791-8051愛媛県松山市梅田町4-28,0899514142（089-951-4142）,20000（千円）,代表取締役社長／倉橋　宗泰（クラハシ ムネヤス）
キシホ工業株式会社,1500001007083,電気機械器具製造業,〒791-0303愛媛県東温市北方甲530,0899666768（089-966-6768）,10000（千円）,中川　純一（ナカガワ ジユンイチ）
株式会社松末商店,1500001007166,木材・木製品製造業（家具を除く）,〒791-0202愛媛県東温市樋口甲503,0899645252（089-964-5252）,10000（千円）,松末　秀雄（マツスエ ヒデオ）
ホワイトシステム株式会社,1500001007240,一般機械器具製造業,〒791-0222愛媛県東温市下林1862-1,0899550017（089-955-0017）,10000（千円）,増田　和俊（マスダ カズトシ）
マリノ技研株式会社,1500001007281,精密機械・医療機械器具製造業,〒791-0213愛媛県東温市牛渕199-57,0899550722（089-955-0722）,10000（千円）,代表取締役社長／横崎　公美（ヨコザキ クミ）
ふたば株式会社,1500001007414,食料品・飼料・飲料製造業,〒791-0321愛媛県東温市河之内乙844-1,0899665585（089-966-5585）,5000（千円）,田中　眞二（タナカ シンジ）
昭和刷子株式会社,1500001007827,その他の製造業,〒795-0303愛媛県喜多郡内子町平岡甲400-1,0893431123（0893-43-1123）,10000（千円）,代表取締役社長／宮岡　圭介（ミヤオカ ケイスケ）
株式会社大野印刷,1500001007884,出版・印刷・同関連産業,〒797-1503愛媛県大洲市肱川町宇和川3671,0893343131（0893-34-3131）,12000（千円）,西山　常数（ニシヤマ ツネカズ）
野村生コン株式会社,1500001007967,窯業・土石製品製造業,〒797-1212愛媛県西予市野村町野村14-90,0894720074（0894-72-0074）,99000（千円）,井関　智（イセキ サトシ）
