会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
シヤチハタテクノ株式会社,1010001061634,その他の製造業,〒451-0021愛知県名古屋市西区天塚町4-69シヤチハタ株式会社内,0526860334（052-686-0334）,20000（千円）,大江　直樹（オオエ ナオキ）
株式会社ＮＥＳＳＯ,1060001023316,その他の製造業,〒461-0004愛知県名古屋市東区葵3-20-35ベルドミール葵1301,0527557086（052-755-7086）,10000（千円）,田口　昌弘（タグチ マサヒロ）
ビューテック株式会社,1140001050005,窯業・土石製品製造業,〒471-0064愛知県豊田市梅坪町9-30-3,0565315521（0565-31-5521）,5500000（千円）,代表取締役社長／福田　太郎（フクダ タロウ）
天野プラスチック工業株式会社,1180001000096,その他の製造業,〒463-0046愛知県名古屋市守山区苗代1-6-11,0527942243（052-794-2243）,20000（千円）,上和田　敬二（カミワダ ケイジ）
今井段ボール株式会社,1180001000138,パルプ・紙・紙加工品製造業,〒463-0089愛知県名古屋市守山区西川原町155,0527939666（052-793-9666）,10000（千円）,原田　喜公（ハラダ ヨシマサ）
株式会社シバタ紙器製作所,1180001000542,パルプ・紙・紙加工品製造業,〒463-0053愛知県名古屋市守山区小幡千代田18-20,0527941661（052-794-1661）,15000（千円）,高橋　勝広（タカハシ カツヒロ）
株式会社ダイナゴン,1180001000690,食料品・飼料・飲料製造業,〒463-0063愛知県名古屋市守山区八反8-38,0527931613（052-793-1613）,32000（千円）,中島　健一朗（ナカシマ ケンイチロウ）
株式会社中京制御器,1180001000765,電気機械器具製造業,〒463-0026愛知県名古屋市守山区藪田町808,0527982914（052-798-2914）,10000（千円）,辻田　靖矩（ツジタ ヤスノリ）
東海化工株式会社,1180001000848,その他の製造業,〒463-0070愛知県名古屋市守山区新守山3208,0527916816（052-791-6816）,10000（千円）,戸口　孝一（トグチ コウイチ）
名古屋ミクロ株式会社,1180001000988,一般機械器具製造業,〒463-0047愛知県名古屋市守山区小幡常燈18-15,0527960345（052-796-0345）,10000（千円）,加納　勇（カノウ イサム）
古田紙工株式会社,1180001001160,出版・印刷・同関連産業,〒486-0934愛知県春日井市長塚町1-110,0568337111（0568-33-7111）,30000（千円）,代表取締役社長／古田　尚（フルタ タカシ）
松尾紙器株式会社,1180001001202,パルプ・紙・紙加工品製造業,〒463-0068愛知県名古屋市守山区瀬古3-1154,0527936789（052-793-6789）,10000（千円）,松尾　高志（マツオ タカシ）
株式会社守山紙器,1180001001342,パルプ・紙・紙加工品製造業,〒463-0075愛知県名古屋市守山区市場17-27,0527932397（052-793-2397）,10000（千円）,岡島　晃司（オカジマ コウジ）
株式会社横井機械工作所,1180001001409,金属製品製造業,〒463-0002愛知県名古屋市守山区中志段味大洞口2720-1,0527360773（052-736-0773）,26000（千円）,代表取締役社長／横井　映二（ヨコイ エイジ）
カトー技研興業株式会社,1180001001796,一般機械器具製造業,〒465-0095愛知県名古屋市名東区高社2-245三工ビル4F,0527735282（052-773-5282）,10000（千円）,加藤　俊英（カトウ トシヒデ）
シンエイ電機株式会社,1180001002101,電気機械器具製造業,〒465-0034愛知県名古屋市名東区高柳町324,0527758171（052-775-8171）,10000（千円）,村瀬　幸子（ムラセ サチコ）
イリヤ化学株式会社,1180001003487,化学工業,〒464-0853愛知県名古屋市千種区小松町6-27,0527415550（052-741-5550）,50000（千円）,入谷　直行（イリタニ ナオユキ）
株式会社シンシュウ,1180001003842,食料品・飼料・飲料製造業,〒466-0812愛知県名古屋市昭和区八事富士見201,"",10000（千円）,久野　善基（クノ ヨシキ）
株式会社広和鉄工所,1180001003941,金属製品製造業,〒480-1137愛知県長久手市下川原15-5,0561620572（0561-62-0572）,15000（千円）,吉川　雄一（ヨシカワ ユウイチ）
株式会社全広社,1180001004378,その他の製造業,〒465-0026愛知県名古屋市名東区藤森2-279,0527261055（052-726-1055）,10000（千円）,足立　陽一郎（アダチ ヨウイチロウ）
フジクリーン工業株式会社,1180001005244,その他の製造業,〒464-0850愛知県名古屋市千種区今池4-1-4渡辺ビル,0527330325（052-733-0325）,300000（千円）,代表取締役社長／木村　秀昭（キムラ ヒデアキ）
株式会社レ・プロローグ,1180001005871,その他の製造業,〒460-0011愛知県名古屋市中区大須1-2-14,0522538445（052-253-8445）,10000（千円）,林　義雄（ハヤシ ヨシオ）
株式会社伊藤鉄工所,1180001006069,金属製品製造業,〒455-0801愛知県名古屋市港区小碓2-120,0523820101（052-382-0101）,30000（千円）,代表取締役社長／伊藤　精二（イトウ セイジ）
株式会社江田島鉄工所,1180001006143,一般機械器具製造業,〒455-0832愛知県名古屋市港区宝神5-511,0523828656（052-382-8656）,10000（千円）,平本　栄次郎（ヒラモト エイジロウ）
株式会社加藤鉄工,1180001006234,金属製品製造業,〒455-0075愛知県名古屋市港区正徳町3-41,0523817553（052-381-7553）,10000（千円）,加藤　克巳（カトウ カツミ）
神山鉄工株式会社,1180001006267,金属製品製造業,〒455-0803愛知県名古屋市港区入場1-1506,0523827218（052-382-7218）,10000（千円）,神山　道宏（カミヤマ ミチヒロ）
株式会社久保田鉄工所,1180001006341,一般機械器具製造業,〒455-0076愛知県名古屋市港区川間町3-19,0526515054（052-651-5054）,10000（千円）,久保田　克巳（クボタ カツミ）
株式会社ケイエス理化,1180001006358,金属製品製造業,〒455-0074愛知県名古屋市港区正保町4-15,0523819434（052-381-9434）,13000（千円）,榊間　達二（サカキマ タツジ）
三和工業株式会社,1180001006523,金属製品製造業,〒455-0831愛知県名古屋市港区十一屋1-59-2,0523813465（052-381-3465）,10000（千円）,木場　長健（キバ ノブタケ）
杉江精機株式会社,1180001006614,一般機械器具製造業,〒455-0011愛知県名古屋市港区千年3-101-12,0526527700（052-652-7700）,80000（千円）,代表取締役社長／ツル谷　貞夫（ツルタニ サダオ）
大誠精機株式会社,1180001006696,一般機械器具製造業,〒455-0074愛知県名古屋市港区正保町8-44,0523835022（052-383-5022）,10000（千円）,加藤　誠一（カトウ セイイチ）
株式会社高津製作所,1180001006754,一般機械器具製造業,〒455-0001愛知県名古屋市港区七番町3-22,0526613807（052-661-3807）,24000（千円）,高津　晋一（タカツ シンイチ）
中部日本印刷工業株式会社,1180001006845,出版・印刷・同関連産業,〒465-0088愛知県名古屋市名東区名東本町177,0527822323（052-782-2323）,10000（千円）,恒川　宗優（ツネカワ トシマサ）
テック精工株式会社,1180001006886,その他の製造業,〒455-0801愛知県名古屋市港区小碓2-320-1,0523826331（052-382-6331）,10000（千円）,酒井　佑裕（サカイ スケヒロ）
東海合成株式会社,1180001006903,その他の製造業,〒455-0077愛知県名古屋市港区小割通3-13,0526511560（052-651-1560）,10000（千円）,上田　明義（ウエダ アキヨシ）
東海機械製造株式会社,1180001006911,一般機械器具製造業,〒455-0075愛知県名古屋市港区正徳町3-56,0523814111（052-381-4111）,10000（千円）,代表取締役社長／平野　太（ヒラノ フトシ）
ニシキ工業株式会社,1180001007109,家具・装備品製造業,〒455-0074愛知県名古屋市港区正保町8-20,0523814648（052-381-4648）,10000（千円）,西川　昇伸（ニシカワ シヨウシン）
日和機器株式会社,1180001007133,輸送用機械器具製造業,〒455-0804愛知県名古屋市港区当知3-3215,0523820511（052-382-0511）,40000（千円）,代表取締役社長／木下　丈朗（キノシタ タケオ）
株式会社長谷川製作所,1180001007208,その他の製造業,〒456-0023愛知県名古屋市熱田区六野1-2-21ザ・ライオンズミッドキャピタルタワー3505,0526137612（052-613-7612）,10000（千円）,山内　貴世江（ヤマウチ キヨエ）
ベニクス株式会社,1180001007348,木材・木製品製造業（家具を除く）,〒455-0801愛知県名古屋市港区小碓2-102,0523829311（052-382-9311）,20000（千円）,代表取締役社長／水越　隆之（ミズコシ タカユキ）
株式会社松岡電機工業所,1180001007389,電気機械器具製造業,〒455-0075愛知県名古屋市港区正徳町6-34,0523831148（052-383-1148）,10000（千円）,松岡　紫郎（マツオカ シロウ）
名洋工業株式会社,1180001007554,一般機械器具製造業,〒455-0832愛知県名古屋市港区宝神2-402,0523818800（052-381-8800）,10000（千円）,倉地　寿男（クラチ トシオ）
株式会社アイタ,1180001007728,出版・印刷・同関連産業,〒456-0004愛知県名古屋市熱田区桜田町15-8-1106,0529777601（052-977-7601）,10000（千円）,板倉　寛（イタクラ ヒロシ）
エヌケーシステム株式会社,1180001007975,電気機械器具製造業,〒466-0806愛知県名古屋市昭和区西畑町2,0527591166（052-759-1166）,10000（千円）,代表取締役／中尾　温（ナカオ アツシ）
國際電業株式会社,1180001008263,電気機械器具製造業,〒466-0054愛知県名古屋市昭和区円上町27-14,0528716621（052-871-6621）,100000（千円）,代表取締役社長／古川　長武（フルカワ オサム）
株式会社スタンパール社,1180001008569,出版・印刷・同関連産業,〒466-0058愛知県名古屋市昭和区白金3-21-22スタンパールビル2階,0528824831（052-882-4831）,35000（千円）,末廣　美智子（スエヒロ ミチコ）
株式会社高橋金属塗装工業所,1180001008692,金属製品製造業,〒466-0059愛知県名古屋市昭和区福江1-26-9,0528823567（052-882-3567）,10000（千円）,高橋　正樹（タカハシ マサキ）
株式会社つばさや,1180001008833,衣服・その他の繊維製品製造業,〒466-0044愛知県名古屋市昭和区桜山町6-104,0528415284（052-841-5284）,10000（千円）,山田　健人（ヤマダ タケヒト）
株式会社東海有機農産,1180001008890,化学工業,〒466-0001愛知県名古屋市昭和区車田町2-33,0527335124（052-733-5124）,24300（千円）,上田　亮一（ウエダ リヨウイチ）
東洋アドバンス株式会社,1180001008916,その他の製造業,〒466-0015愛知県名古屋市昭和区御器所通1-6-3東洋ビル,0528715558（052-871-5558）,15000（千円）,山口　誠（ヤマグチ マコト）
ときわパツク株式会社,1180001008940,パルプ・紙・紙加工品製造業,〒466-0828愛知県名古屋市昭和区山中町1-21-3BOXトキワ3階,0527631185（052-763-1185）,25000（千円）,西牧　正武（ニシマキ マサタケ）
株式会社早川電機製作所,1180001009162,輸送用機械器具製造業,〒466-0058愛知県名古屋市昭和区白金2-3-16,0528710571（052-871-0571）,30000（千円）,代表取締役社長／早川　光広（ハヤカワ ミツヒロ）
丸中紙工株式会社,1180001009410,パルプ・紙・紙加工品製造業,〒466-0058愛知県名古屋市昭和区白金1-18-5,0528835111（052-883-5111）,20000（千円）,中島　裕之（ナカシマ ヒロユキ）
株式会社永楽堂,1180001009864,食料品・飼料・飲料製造業,〒467-0853愛知県名古屋市瑞穂区内浜町20-1,0528241671（052-824-1671）,30000（千円）,代表取締役社長／近藤　佳樹（コンドウ ヨシキ）
柏工業株式会社,1180001009971,輸送用機械器具製造業,〒459-8001愛知県名古屋市緑区大高町寅新田90,0526247830（052-624-7830）,30000（千円）,代表取締役社長／熊澤　喜照（クマザワ ヨシテル）
株式会社河村スプリング,1180001010013,金属製品製造業,〒457-0072愛知県名古屋市南区寺部通4-3,0528190031（052-819-0031）,10000（千円）,河村　道生（カワムラ ミチオ）
太陽電化工業株式会社,1180001010475,金属製品製造業,〒467-0845愛知県名古屋市瑞穂区河岸1-5-1,0528211161（052-821-1161）,54000（千円）,代表取締役社長／伊藤　豪（イトウ ゴウ）
株式会社テクノプラスト,1180001010624,その他の製造業,〒457-0078愛知県名古屋市南区塩屋町5-1-1,0528191130（052-819-1130）,10000（千円）,中村　明（ナカムラ アキラ）
株式会社銅豊製作所,1180001010673,金属製品製造業,〒467-0856愛知県名古屋市瑞穂区新開町14-8,0528711534（052-871-1534）,37800（千円）,浅野　慎介（アサノ シンスケ）
株式会社名古屋菓機製作所,1180001010756,一般機械器具製造業,〒467-0827愛知県名古屋市瑞穂区下坂町2-44,0528712541（052-871-2541）,10000（千円）,渡辺　圭造（ワタナベ ケイゾウ）
株式会社メイネツ,1180001010780,金属製品製造業,〒448-0008愛知県刈谷市今岡町西吹戸5-7,0566360215（0566-36-0215）,15360（千円）,林　宏忠（ハヤシ ヒロタダ）
丸矢産業株式会社,1180001011102,出版・印刷・同関連産業,〒467-0014愛知県名古屋市瑞穂区白羽根町1-61,0528519391（052-851-9391）,10000（千円）,小川　克俊（オガワ カツトシ）
株式会社阿部東,1180001011515,一般機械器具製造業,〒480-0305愛知県春日井市坂下町7-783-5,0568880253（0568-88-0253）,14000（千円）,阿部　鉐（アベ セキ）
株式会社いづ藤漬物舗,1180001011614,食料品・飼料・飲料製造業,〒460-0003愛知県名古屋市中区錦3-13-33,0529610541（052-961-0541）,10000（千円）,伊藤　嘉浩（イトウ ヨシヒロ）
株式会社ヴイ・アイ・イー,1180001011655,一般機械器具製造業,〒462-0011愛知県名古屋市北区五反田町305-1,0529029458（052-902-9458）,10000（千円）,中田　茂伸（ナカタ シゲノブ）
株式会社啓文社,1180001012034,出版・印刷・同関連産業,〒462-0847愛知県名古屋市北区金城4-12-16,0529148222（052-914-8222）,10000（千円）,岡田　啓作（オカダ ケイサク）
株式会社三秀社,1180001012216,出版・印刷・同関連産業,〒462-0838愛知県名古屋市北区中杉町1-36-3,0529110277（052-911-0277）,10000（千円）,佐藤　忠昭（サトウ タダアキ）
株式会社シバタ合成,1180001012356,その他の製造業,〒462-0012愛知県名古屋市北区楠1-404,0529018887（052-901-8887）,10000（千円）,柴田　祐吉（シバタ ユウキチ）
