会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
妙高株式会社,1010001183247,精密機械・医療機械器具製造業,〒944-0016新潟県妙高市美守764,0255724711（0255-72-4711）,10000（千円）,原田　良紀（ハラダ ヨシノリ）
アイ・エヌ・エス株式会社,1110001000144,その他の製造業,〒950-0911新潟県新潟市中央区笹口3-14-6,0252460567（025-246-0567）,10000（千円）,志田　長春（シダ ナガハル）
株式会社エフワーク,1110001000788,その他の製造業,〒950-0923新潟県新潟市中央区姥ケ山1-6-28,0252872277（025-287-2277）,10000（千円）,三浦　芳雄（ミウラ ヨシオ）
沖歯科工業株式会社,1110001000912,精密機械・医療機械器具製造業,〒950-2074新潟県新潟市西区真砂3-23-2,0252665141（025-266-5141）,12000（千円）,佐藤　博行（サトウ ヒロユキ）
株式会社小林印刷所,1110001000986,出版・印刷・同関連産業,〒951-8028新潟県新潟市中央区東湊町通三ノ町2569,0252228725（025-222-8725）,46400（千円）,小林　則夫（コバヤシ ノリオ）
株式会社Ａ－ＴＲＡＤ,1110001001101,一般機械器具製造業,〒950-0134新潟県新潟市江南区曙町3-7-12,0252505765（025-250-5765）,25000（千円）,安藤　敏希（アンドウ トシキ）
石本酒造株式会社,1110001001258,食料品・飼料・飲料製造業,〒950-0116新潟県新潟市江南区北山847-1,0252762028（025-276-2028）,10000（千円）,石本　龍則（イシモト タツノリ）
株式会社エー・アンド・エー新潟,1110001001415,電気機械器具製造業,〒950-0841新潟県新潟市東区中野山1-7-9,0252763301（025-276-3301）,20000（千円）,山田　廣栄（ヤマダ ヒロエイ）
株式会社金子鉄工所,1110001001522,一般機械器具製造業,〒950-0075新潟県新潟市中央区沼垂東5-4-15,0252443932（025-244-3932）,10000（千円）,金子　淳一郎（カネコ ジユンイチロウ）
株式会社コマザワ精機,1110001002041,一般機械器具製造業,〒950-3134新潟県新潟市北区新崎373-4,0252593148（025-259-3148）,48000（千円）,代表取締役社長／大原　琢哉（オオハラ タクヤ）
株式会社さがのや,1110001002181,食料品・飼料・飲料製造業,〒950-2251新潟県新潟市西区中権寺2734-1,0252611222（025-261-1222）,20000（千円）,金子　恒夫（カネコ ツネオ）
株式会社ダイレクトジャパン,1110001003089,一般機械器具製造業,〒950-0922新潟県新潟市中央区山二ツ3-13-16,0252873213（025-287-3213）,35000（千円）,代表取締役社長／岩崎　孝仁（イワサキ タカヒト）
株式会社高橋商店,1110001003171,食料品・飼料・飲料製造業,〒950-0073新潟県新潟市中央区日の出1-2-16,0252446378（025-244-6378）,10000（千円）,高橋　明裕（タカハシ アキヒロ）
