会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社アンプ,1010001000410,ビジネス > 製造・加工（衣料関連）,〒113-0021東京都文京区本駒込5-27-7AYAビル2F,0338282511（03-3828-2511）,"",""
株式会社ウイニング,1010001000889,ビジネス > 製造・加工（その他）,〒113-0022東京都文京区千駄木3-40-14,0338288136（03-3828-8136）,10000（千円）,杉林　匡（スギバヤシ マサシ）
株式会社ジュコークリエイティブ,1010001003784,ビジネス > 製造・加工（医療・薬関連）,〒113-0001東京都文京区白山1-33-16パークコートプレイスビル5F,0356892641（03-5689-2641）,20000（千円）,円山　亙（マルヤマ ワタル）
株式会社東海コーポレーション,1010001005161,ビジネス > 製造・加工（電子・精密機械器具）,〒113-0033東京都文京区本郷5-30-18,0338137108（03-3813-7108）,"",鈴木　哲朗（スズキ テツロウ）
株式会社東京ドームマーチャンダイジング,1010001005260,ビジネス > 製造・加工（衣料関連）,〒112-0004東京都文京区後楽1-3-61,0356893200（03-5689-3200）,10000（千円）,山住　昭宏（ヤマズミ アキヒロ）
日建工業株式会社,1010001006102,ビジネス > 製造・加工（建築資材）,〒113-0022東京都文京区千駄木3丁目47番3号,0338284151（03-3828-4151）,"",""
松田医科工業株式会社,1010001007323,ビジネス > 製造・加工（医療・薬関連）,〒113-0034東京都文京区湯島2-13-4,0338148911（03-3814-8911）,20000（千円）,代表取締役社長／松田　武（マツダ タケシ）
株式会社ミクニ,1010001008791,ビジネス > 製造・加工（工作機械・一般機械器具）,〒101-0021東京都千代田区外神田6-13-11ミクニビル4階,0338343975（03-3834-3975）,"",""
株式会社アイタック,1010001009427,ビジネス > 製造・加工（工作機械・一般機械器具）,〒101-0041東京都千代田区神田須田町1-18共同ビル6階,0332553988（03-3255-3988）,300（千円）,平林　泰（ヒラバヤシ ヤスシ）
株式会社入江商会,1010001011234,ビジネス > 製造・加工（電子・精密機械器具）,〒101-0025東京都千代田区神田佐久間町3丁目37番地,0338627531（03-3862-7531）,"",""
株式会社協和,1010001014633,ビジネス > 製造・加工（工作機械・一般機械器具）,〒101-0032東京都千代田区岩本町1-12-11トーア岩本町マンション306,0338664011（03-3866-4011）,"",""
