会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
日の本穀粉株式会社,1010001100342,食料品・飼料・飲料製造業,〒323-0028栃木県小山市若木町3-2-15,0285221157（0285-22-1157）,72600（千円）,代表取締役社長／黒田　寛（クロダ ヒロシ）
株式会社ＵＡＣＪ押出加工小山,1010001154792,"鉄鋼業,非鉄金属製造業",〒323-0812栃木県小山市土塔560,0285232111（0285-23-2111）,90000（千円）,高橋　辰己（タカハシ タツミ）
株式会社協立製作所,1060001000125,電気機械器具製造業,〒329-1102栃木県宇都宮市白沢町1825-4,0286736331（028-673-6331）,10000（千円）,代表取締役社長／大谷津　敏之（オオヤツ トシユキ）
株式会社オカダ,1060001001032,一般機械器具製造業,〒321-0921栃木県宇都宮市瑞穂3-12-6,0286566063（028-656-6063）,3000（千円）,岡田　朋樹（オカダ トモキ）
株式会社群商,1060001001453,一般機械器具製造業,〒320-0005栃木県宇都宮市横山1-2-20,0286240623（028-624-0623）,20000（千円）,代表取締役社長／園田　豊太郎（ソノダ トヨタロウ）
株式会社クニトミ印刷,1060001001461,出版・印刷・同関連産業,〒320-0806栃木県宇都宮市中央5-16-13,0286344988（028-634-4988）,13000（千円）,小林　皓二（コバヤシ コウジ）
株式会社サンコー,1060001001791,衣服・その他の繊維製品製造業,〒320-0832栃木県宇都宮市日の出2-4-26,0286361351（028-636-1351）,10000（千円）,中川　弘行（ナカガワ ヒロユキ）
第一技研工業株式会社,1060001002526,その他の製造業,〒320-0071栃木県宇都宮市野沢町372-5,0286651141（028-665-1141）,41000（千円）,石橋　達也（イシバシ タツヤ）
株式会社泰明グラフィクス,1060001002609,出版・印刷・同関連産業,〒321-0169栃木県宇都宮市八千代2-15-14,0286587780（028-658-7780）,17000（千円）,斎藤　弘（サイトウ ヒロシ）
株式会社中央,1060001002765,一般機械器具製造業,〒321-0983栃木県宇都宮市御幸本町4627,0286621311（028-662-1311）,10000（千円）,植木　久夫（ウエキ ヒサオ）
株式会社テツカクリエート,1060001002889,輸送用機械器具製造業,〒329-0524栃木県河内郡上三川町多功2571-2,0285536888（0285-53-6888）,10000（千円）,鉢村　高史（ハチムラ タカシ）
株式会社テム,1060001002897,電気機械器具製造業,〒321-2114栃木県宇都宮市下金井町662-3,0286662331（028-666-2331）,23000（千円）,石村　照雄（イシムラ テルオ）
栃酪乳業株式会社,1060001003219,食料品・飼料・飲料製造業,〒321-0985栃木県宇都宮市東町76,0286634516（028-663-4516）,90000（千円）,代表取締役社長／石川　正美（イシカワ マサミ）
西川ベツド製造株式会社,1060001003499,家具・装備品製造業,〒321-0905栃木県宇都宮市平出工業団地26-2,0286618161（028-661-8161）,20000（千円）,代表取締役社長／小畑　収二（オバタ シユウジ）
伴印刷株式会社,1060001003623,出版・印刷・同関連産業,〒320-0024栃木県宇都宮市栄町6-10,0286228901（028-622-8901）,10000（千円）,伴　誠（バン マコト）
バーンストーン株式会社,1060001003656,窯業・土石製品製造業,〒321-0345栃木県宇都宮市大谷町554,0286523033（028-652-3033）,40000（千円）,坂本　静和（サカモト シズカ）
富士印刷株式会社,1060001003813,出版・印刷・同関連産業,〒320-0061栃木県宇都宮市宝木町2-798,0286521103（028-652-1103）,10000（千円）,市川　勝正（イチカワ カツマサ）
株式会社ＵＡＣＪカラーアルミ,1060001003945,金属製品製造業,〒321-0905栃木県宇都宮市平出工業団地20-2,0286616916（028-661-6916）,30000（千円）,代表取締役社長／八木　啓介（ヤギ ケイスケ）
株式会社増渕生コン,1060001004134,窯業・土石製品製造業,〒321-0923栃木県宇都宮市下栗町577,0286561511（028-656-1511）,10000（千円）,高橋　明彦（タカハシ アキヒコ）
松本畳工業株式会社,1060001004175,その他の製造業,〒320-0042栃木県宇都宮市材木町4-2,0286332488（028-633-2488）,10000（千円）,今井　キヨ（イマイ キヨ）
