会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社愛知金属工業,1360001000020,金属製品製造業,〒901-0306沖縄県糸満市西崎町5-9-3,0989924531（098-992-4531）,20000（千円）,仲宗根　祐一（ナカソネ ユウイチ）
クリスタライザー株式会社,1360001000037,化学工業,〒900-0013沖縄県那覇市牧志1-8-32階,0988620740（098-862-0740）,10000（千円）,金武　秀子（キン ヒデコ）
沖縄テクノクリート株式会社,1360001000433,窯業・土石製品製造業,〒900-0003沖縄県那覇市安謝620,0988682522（098-868-2522）,42000（千円）,代表取締役社長／仲本　幸文（ナカモト コウブン）
沖繩森永乳業株式会社,1360001000516,食料品・飼料・飲料製造業,〒903-0105沖縄県中頭郡西原町東崎4-15,0988719000（098-871-9000）,305000（千円）,代表取締役社長／知念　良明（チネン ヨシアキ）
株式会社ざまみダンボール,1360001000953,パルプ・紙・紙加工品製造業,〒901-0306沖縄県糸満市西崎町4-7,0989921616（098-992-1616）,22800（千円）,代表取締役社長／座間味　勲（ザマミ イサオ）
新沖繩浄水工業株式会社,1360001001134,化学工業,〒900-0012沖縄県那覇市泊2-7-2,0988673120（098-867-3120）,20000（千円）,宮城　卓（ミヤギ タカシ）
忠孝酒造株式会社,1360001001415,食料品・飼料・飲料製造業,〒901-0235沖縄県豊見城市名嘉地132,0988501257（098-850-1257）,41000（千円）,代表取締役社長／大城　勤（オオシロ ツトム）
株式会社粟国島海塩研究所,1360001005110,化学工業,〒901-3702沖縄県島尻郡粟国村字東246,"",12000（千円）,新里　政雄（シンザト マサオ）
イーストマリン株式会社,1360001005250,輸送用機械器具製造業,〒901-0306沖縄県糸満市西崎町1-6-21,0989924824（098-992-4824）,10000（千円）,玉城　勉（タマシロ ツトム）
株式会社マルイチ,1360001005366,衣服・その他の繊維製品製造業,〒901-0306沖縄県糸満市西崎町5-9-18,0989925790（098-992-5790）,10000（千円）,新垣　輝幸（アラカキ テルユキ）
琉球黒糖株式会社,1360001005440,食料品・飼料・飲料製造業,〒901-0306沖縄県糸満市西崎町4-16-19,0989928300（098-992-8300）,10000（千円）,金城　幸政（キンジヨウ ユキマサ）
株式会社オキポリ,1360001006513,その他の製造業,〒901-1207沖縄県南城市大里古堅1208-3,0989465095（098-946-5095）,50000（千円）,末吉　正三（スエヨシ マサミ）
