会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社日立建機ティエラ,1120001158056,一般機械器具製造業,〒528-0061滋賀県甲賀市水口町笹が丘1-20748,"",1440550（千円）,代表取締役社長／村杉　滋（ムラスギ シゲル）
長谷金属株式会社,1122001005915,"鉄鋼業,非鉄金属製造業",〒529-1223滋賀県愛知郡愛荘町島川1150749,"",10000（千円）,代表取締役社長／長谷　佳幸（ハセ ヨシユキ）
株式会社伊藤源,1160001000197,木材・木製品製造業（家具を除く）,〒520-0244滋賀県大津市衣川3-2-37077,"",10000（千円）,伊藤　誠（イトウ マコト）
オプテックスグループ株式会社,1160001000321,電気機械器具製造業,〒520-0101滋賀県大津市雄琴5-8-12077,"",2798278（千円）,代表取締役社長／小國　勇（オグニ イサム）
大津紙業写真印刷株式会社,1160001000387,出版・印刷・同関連産業,〒520-2152滋賀県大津市月輪1-9-33077,"",32000（千円）,堀口　正徳（ホリグチ マサノリ）
株式会社近江ミネラルウォーターサービス,1160001000429,食料品・飼料・飲料製造業,〒520-0865滋賀県大津市南郷3-1-12077,"",10000（千円）,浅野　照美（アサノ テルミ）
共栄電機工業株式会社,1160001000552,電気機械器具製造業,〒520-0846滋賀県大津市富士見台10-6077,"",10000（千円）,駿同　宏敏（スルドウ ヒロトシ）
高橋精器株式会社,1160001001170,一般機械器具製造業,〒520-2276滋賀県大津市里5-12-2077,"",10000（千円）,高橋　隆一（タカハシ リユウイチ）
株式会社大忠堂,1160001001261,食料品・飼料・飲料製造業,〒520-0032滋賀県大津市観音寺8-17077,"",25000（千円）,森本　喜章（モリモト ヨシアキ）
株式会社豐光,1160001001393,金属製品製造業,〒520-0822滋賀県大津市秋葉台8-10077,"",10000（千円）,結城　勇（ユウキ イサム）
長岡産業株式会社,1160001001419,その他の製造業,〒520-0832滋賀県大津市粟津町2-61077,"",40000（千円）,代表取締役社長／前田　芳一（マエダ ヨシカズ）
株式会社西村梅吉商店,1160001001476,家具・装備品製造業,〒520-2141滋賀県大津市大江7-9-20077,"",15000（千円）,西村　正教（ニシムラ マサノリ）
マルサク株式会社,1160001001831,"繊維工業（衣服,その他の繊維製品を除く）",〒520-2111滋賀県大津市桐生2-9-18077,"",10000（千円）,山本　雅洋（ヤマモト マサヒロ）
株式会社ワークス松下,1160001002334,その他の製造業,〒520-2116滋賀県大津市堂2-5-7077,"",10000（千円）,松下　荘八（マツシタ ソウハチ）
タカラバイオ株式会社,1160001002490,化学工業,〒525-0058滋賀県草津市野路東7-4-38077,"",14965000（千円）,代表取締役社長／仲尾　功一（ナカオ コウイチ）
フジヤマジャパン株式会社,1160001003241,電気機械器具製造業,〒520-2114滋賀県大津市中野1-1-6077,"",10000（千円）,藤原　嘉明（フジワラ ヨシアキ）
ベーシック株式会社,1160001003274,電気機械器具製造業,〒520-2141滋賀県大津市大江5-35-13077,"",50000（千円）,佐々木　勉（ササキ ツトム）
株式会社エフピー２１,1160001003778,一般機械器具製造業,〒520-2145滋賀県大津市大将軍3-11-32077,"",9000（千円）,北村　史朗（キタムラ シロウ）
真郷精機株式会社,1160001004462,一般機械器具製造業,〒520-0865滋賀県大津市南郷4-1-34077,"",10000（千円）,澤田　誠（サワダ マコト）
株式会社甲西金属工業所,1160001004883,一般機械器具製造業,〒520-3242滋賀県湖南市菩提寺13690748,"",10000（千円）,伊地知　一郎（イジチ イチロウ）
日本ポリスター株式会社,1160001004999,一般機械器具製造業,〒520-3114滋賀県湖南市石部口3-4-130748,"",20400（千円）,代表取締役社長／高井　文彦（タカイ フミヒコ）
株式会社イワキ,1160001005089,金属製品製造業,〒528-0057滋賀県甲賀市水口町北脇1930748,"",80000（千円）,代表取締役社長／岩城　龍浩（イワキ タツヒロ）
笑四季酒造株式会社,1160001005097,食料品・飼料・飲料製造業,〒528-0031滋賀県甲賀市水口町本町1-7-80748,"",12000（千円）,竹嶋　健三（タケシマ ケンゾウ）
新光工業株式会社,1160001005122,一般機械器具製造業,〒528-0028滋賀県甲賀市水口町城東1-370748,"",21000（千円）,西居　庄蔵（ニシイ シヨウゾウ）
望月酒造株式会社,1160001005403,食料品・飼料・飲料製造業,〒520-3425滋賀県甲賀市甲賀町毛枚11580748,"",10000（千円）,望月　長裕（モチヅキ ナガヒロ）
株式会社陶光菴,1160001005568,窯業・土石製品製造業,〒529-1812滋賀県甲賀市信楽町神山10260748,"",10000（千円）,奥田　和樹（オクダ カズキ）
丸二陶料株式会社,1160001005592,窯業・土石製品製造業,〒529-1804滋賀県甲賀市信楽町勅旨2188-130748,"",10000（千円）,今井　隆史（イマイ タカシ）
ＤＩＣカラーコーチング株式会社,1160001005659,化学工業,〒520-3233滋賀県湖南市柑子袋3730748,"",36000（千円）,佐々木　雅春（ササキ マサハル）
阪和スチールサービス株式会社,1160001005683,"鉄鋼業,非鉄金属製造業",〒528-0068滋賀県甲賀市水口町ひのきが丘32-20748,"",100000（千円）,代表取締役社長／佐藤　泰正（サトウ ヤスマサ）
株式会社エム・アドバンズ,1160001005691,金属製品製造業,〒520-3203滋賀県湖南市日枝町4-140748,"",10000（千円）,森田　進（モリタ ススム）
甲西高周波工業株式会社,1160001005741,金属製品製造業,〒520-3113滋賀県湖南市石部北5-6-50748,"",30000（千円）,代表取締役社長／佐々木　正宏（ササキ マサヒロ）
株式会社ティ・コム,1160001005980,その他の製造業,〒529-1804滋賀県甲賀市信楽町勅旨11910748,"",6000（千円）,代表取締役社長／大川　光昭（オオカワ ミツアキ）
日東三和塗料株式会社,1160001006046,化学工業,〒520-3114滋賀県湖南市石部口3-3-1大日本塗料株式会社滋賀製造所内0748,"",30000（千円）,野田　秀吉（ノダ ヒデヨシ）
株式会社ダイエツ,1160001006236,木材・木製品製造業（家具を除く）,〒520-3435滋賀県甲賀市甲賀町相模1920748,"",3000（千円）,福西　丈夫（フクニシ タケオ）
株式会社アインコーポレーション,1160001006418,衣服・その他の繊維製品製造業,〒526-0012滋賀県長浜市新庄中町1760749,"",10000（千円）,荒川　享士（アラカワ タカシ）
近江鉱業株式会社,1160001006500,窯業・土石製品製造業,〒521-0242滋賀県米原市長岡17800749,"",50000（千円）,代表取締役社長／相原　正明（アイハラ マサアキ）
河藤株式会社,1160001006525,"繊維工業（衣服,その他の繊維製品を除く）",〒526-0014滋賀県長浜市口分田町5230749,"",45000（千円）,河瀬　重雄（カワセ シゲオ）
サンオクト株式会社,1160001006649,電気機械器具製造業,〒526-0015滋賀県長浜市神照町678-10749,"",30000（千円）,代表取締役社長／尾崎　隆（オザキ タカシ）
株式会社タカテック,1160001006797,一般機械器具製造業,〒526-0045滋賀県長浜市寺田町1430749,"",10000（千円）,高橋　政之（タカハシ マサユキ）
大栄テクノ株式会社,1160001006814,輸送用機械器具製造業,〒526-0062滋賀県長浜市列見町2170749,"",80000（千円）,代表取締役社長／松居　宏純（マツイ ヒロズミ）
長浜プレス工業株式会社,1160001006855,一般機械器具製造業,〒526-0015滋賀県長浜市神照町978-60749,"",10000（千円）,松波　正浩（マツナミ マサヒロ）
ハイキス株式会社,1160001006970,金属製品製造業,〒526-0804滋賀県長浜市加納町288-10749,"",17800（千円）,代表取締役社長／木村　和弘（キムラ カズヒロ）
二葉産業株式会社,1160001007003,その他の製造業,〒526-0021滋賀県長浜市八幡中山町6790749,"",10000（千円）,中居　康幸（ナカイ ヤスユキ）
株式会社北菱モールド,1160001007036,一般機械器具製造業,〒526-0804滋賀県長浜市加納町2050749,"",98000（千円）,代表取締役社長／田中　幹夫（タナカ ミキオ）
マツイ機器工業株式会社,1160001007044,金属製品製造業,〒526-0802滋賀県長浜市東上坂町242-50749,"",30000（千円）,代表取締役社長／松井　定則（マツイ サダノリ）
ユニー工業株式会社,1160001007143,電気機械器具製造業,〒529-0102滋賀県長浜市月ヶ瀬町2500749,"",10000（千円）,萬木　豊（ユルギ ユタカ）
菱琵テクノ株式会社,1160001007176,その他の製造業,〒529-0102滋賀県長浜市月ヶ瀬町10749,"",400000（千円）,代表取締役社長／津山　晃一（ツヤマ コウイチ）
荒木電子工業株式会社,1160001007192,電気機械器具製造業,〒529-0222滋賀県長浜市高月町雨森448-20749,"",10000（千円）,荒木　順治（アラキ ジユンジ）
片桐工業株式会社,1160001007218,窯業・土石製品製造業,〒529-0241滋賀県長浜市高月町高月9710749,"",10000（千円）,速水　博呂夫（ハヤミ ヒロオ）
株式会社ビプレ,1160001007498,金属製品製造業,〒526-0803滋賀県長浜市西上坂町10200749,"",10000（千円）,椙本　真司（スギモト シンジ）
日本アドバンストアグリ株式会社,1160001007523,電気機械器具製造業,〒526-0063滋賀県長浜市末広町617-10749,"",45000（千円）,辻　昭久（ツジ アキヒサ）
株式会社北川鉄工所,1160001008208,一般機械器具製造業,〒522-0004滋賀県彦根市鳥居本町12580749,"",10000（千円）,北川　茂樹（キタガワ シゲキ）
株式会社キンケイ,1160001008240,金属製品製造業,〒522-0029滋賀県彦根市地蔵町171-40749,"",10000（千円）,馬場　康之（ババ ヤスユキ）
株式会社清水鐵工所,1160001008372,一般機械器具製造業,〒522-0082滋賀県彦根市安清町4-160749,"",24000（千円）,代表取締役社長／清水　克己（シミズ カツミ）
大和電装株式会社,1160001008439,金属製品製造業,〒529-1204滋賀県愛知郡愛荘町蚊野外170749,"",20000（千円）,津田　浩司（ツダ コウジ）
中央技研株式会社,1160001008488,一般機械器具製造業,〒522-0254滋賀県犬上郡甲良町池寺1164-70749,"",45000（千円）,辻　伸一（ツジ シンイチ）
株式会社ニシザキ,1160001008579,衣服・その他の繊維製品製造業,〒522-0354滋賀県犬上郡多賀町土田4800749,"",10000（千円）,代表取締役社長／西崎　英治（ニシザキ エイジ）
彦根ハーネス株式会社,1160001008653,"鉄鋼業,非鉄金属製造業",〒529-1173滋賀県犬上郡豊郷町高野瀬3800749,"",20000（千円）,瓦崎　進（カワラザキ ススム）
丸中醤油株式会社,1160001008752,食料品・飼料・飲料製造業,〒529-1233滋賀県愛知郡愛荘町東出2290749,"",10000（千円）,中居　真和（ナカイ マサカズ）
株式会社ヤマヨ,1160001008868,食料品・飼料・飲料製造業,〒522-0004滋賀県彦根市鳥居本町538-10749,"",48000（千円）,林　洋一（ハヤシ ヨウイチ）
株式会社エーエヌ・テック,1160001009156,化学工業,〒521-1114滋賀県彦根市彦富町931-50749,"",10000（千円）,中島　歩（ナカジマ アユミ）
株式会社ハイコネクト,1160001009222,"鉄鋼業,非鉄金属製造業",〒522-0027滋賀県彦根市東沼波町12430749,"",10000（千円）,河口　裕亮（カワグチ ヒロアキ）
株式会社中村,1160001009528,食料品・飼料・飲料製造業,〒526-0014滋賀県長浜市口分田町230749,"",10000（千円）,米田　浩（ヨネダ ヒロシ）
