会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社かもめ印刷,1330001000832,出版・印刷・同関連産業,〒861-2403熊本県阿蘇郡西原村布田834-55,0962793440（096-279-3440）,10000（千円）,小堀　祐治（コボリ ユウジ）
株式会社テラシステム,1330001003117,一般機械器具製造業,〒869-1222熊本県菊池郡大津町岩坂3301,0962791166（096-279-1166）,25000（千円）,寺本　力人（テラモト リキト）
株式会社美咲,1330001007175,食料品・飼料・飲料製造業,〒869-1102熊本県菊池郡菊陽町原水1321-5,0962856850（096-285-6850）,10000（千円）,大山　誠（オオヤマ マコト）
株式会社上村エンタープライズ,1330001009122,その他の製造業,〒869-1219熊本県菊池郡大津町大林1017-1,0962930881（096-293-0881）,30000（千円）,上村　親子（ウエムラ チカコ）
熊本森六化成株式会社,1330001009155,その他の製造業,〒869-1231熊本県菊池郡大津町平川2527,0962931000（096-293-1000）,10000（千円）,代表取締役社長／和泉　政秀（イズミ マサヒデ）
株式会社興栄産業,1330001009304,衣服・その他の繊維製品製造業,〒861-1103熊本県合志市野々島3176-1,0962423890（096-242-3890）,10000（千円）,島田　芳康（シマダ ヨシヤス）
辻産業株式会社,1330001009444,窯業・土石製品製造業,〒861-1102熊本県合志市須屋1828-6,0963440427（096-344-0427）,10000（千円）,代表取締役社長／辻　敬子（ツジ ケイコ）
肥後製油株式会社,1330001009493,食料品・飼料・飲料製造業,〒869-1235熊本県菊池郡大津町室1985,0962933371（096-293-3371）,10000（千円）,高木　浩二（タカキ コウジ）
株式会社ＫＩＹＯＲＡきくち,1330001010039,食料品・飼料・飲料製造業,〒861-1303熊本県菊池市今129-2,0968414871（0968-41-4871）,4000（千円）,代表取締役社長／大神　志保子（オオガミ シホコ）
株式会社豊岡技研,1330001010105,輸送用機械器具製造業,〒861-1115熊本県合志市豊岡2400-71,0962486655（096-248-6655）,1000（千円）,椎葉　明久（シイバ アキヒサ）
鹿北生コン株式会社,1330001010237,窯業・土石製品製造業,〒861-0601熊本県山鹿市鹿北町四丁東野1793-1,0968323935（0968-32-3935）,10000（千円）,境　建夫（サカイ タテオ）
タカムラ・エンタープライズ株式会社,1330001010286,一般機械器具製造業,〒861-0316熊本県山鹿市鹿本町下高橋118-1,0968462315（0968-46-2315）,10000（千円）,浦上　慎一朗（ウラカミ シンイチロウ）
株式会社美加川製作所,1330001010328,一般機械器具製造業,〒861-0522熊本県山鹿市久原4230-16,0968447444（0968-44-7444）,10000（千円）,高畠　正幸（タカハタ マサユキ）
株式会社侑秀システムサービス,1330001010360,一般機械器具製造業,〒861-0561熊本県山鹿市鹿央町岩原2130-1,0968422112（0968-42-2112）,13000（千円）,松村　雅明（マツムラ マサアキ）
株式会社生科研,1330001010773,食料品・飼料・飲料製造業,〒861-2401熊本県阿蘇郡西原村鳥子312-4鳥子工業団地内,0962793133（096-279-3133）,50000（千円）,代表取締役社長／紺谷　司郎（コンタニ シロウ）
森川健康堂株式会社,1330001011004,食料品・飼料・飲料製造業,〒861-4616熊本県上益城郡甲佐町田口2170,0962345100（096-234-5100）,100000（千円）,代表取締役社長／森川　俊美（モリカワ トシミ）
九州プロダクト株式会社,1330001011417,出版・印刷・同関連産業,〒865-0041熊本県玉名市伊倉北方800,0968726333（0968-72-6333）,10000（千円）,木林　康太郎（キバヤシ コウタロウ）
有明アスコン株式会社,1330001011549,石油製品・石炭製品製造業,〒869-0236熊本県玉名市岱明町西照寺893,0968573987（0968-57-3987）,30000（千円）,代表取締役社長／濱村　俊一（ハマムラ シユンイチ）
株式会社エム・ディ・エンジニアリング,1330001011904,一般機械器具製造業,〒861-0815熊本県玉名郡南関町豊永6443,0968530882（0968-53-0882）,10000（千円）,松原　智浩（マツバラ トモヒロ）
ライフワーク工業株式会社,1330001011912,金属製品製造業,〒869-0111熊本県玉名郡長洲町名石浜25LIXIL有明工場内,0968784850（0968-78-4850）,10000（千円）,小山　日出夫（オヤマ ヒデオ）
九州電子株式会社,1330001012737,電気機械器具製造業,〒869-0562熊本県宇城市不知火町長崎89,0964325111（0964-32-5111）,80000（千円）,代表取締役社長／北澤　永通（キタザワ ノリミチ）
株式会社タガワブレース,1330001012761,精密機械・医療機械器具製造業,〒869-0605熊本県宇城市小川町南部田1555-1,0964430503（0964-43-0503）,10000（千円）,田川　光司（タガワ コウジ）
扇屋木材工業株式会社,1330001012778,木材・木製品製造業（家具を除く）,〒861-4412熊本県下益城郡美里町佐俣1220-1,0964462187（0964-46-2187）,10000（千円）,丹羽　孝彦（ニワ タカヒコ）
神馬化成株式会社,1330001012852,その他の製造業,〒869-0456熊本県宇土市石橋町168,0964233850（0964-23-3850）,10000（千円）,荒木　晴美（アラキ ハルミ）
株式会社武田製材所,1330001013314,木材・木製品製造業（家具を除く）,〒861-4402熊本県下益城郡美里町堅志田260,0964463060（0964-46-3060）,1000（千円）,幸田　伸也（コウダ シンヤ）
株式会社ヤハラ製缶,1330001013330,金属製品製造業,〒861-4307熊本県宇城市豊野町巣林1400-7,0964453585（0964-45-3585）,10500（千円）,矢原　敏朗（ヤハラ トシロウ）
株式会社ケイ・エフ・ケイ,1330001013553,一般機械器具製造業,〒869-4611熊本県八代市岡町小路635,0965390808（0965-39-0808）,60000（千円）,榎田　文雄（エノキダ フミオ）
株式会社末松電子製作所,1330001013611,電気機械器具製造業,〒869-4615熊本県八代市川田町東34-1,0965536161（0965-53-6161）,10000（千円）,代表取締役社長／末松　謙一（スエマツ ケンイチ）
南海生コンクリート株式会社,1330001013660,窯業・土石製品製造業,〒866-0813熊本県八代市上片町1698,0965334178（0965-33-4178）,10000（千円）,松崎　たか子（マツザキ タカコ）
株式会社日奈久竹輪今田屋,1330001013693,食料品・飼料・飲料製造業,〒869-5172熊本県八代市二見本町1343-1,0965389001（0965-38-9001）,10000（千円）,今田　静一郎（イマダ セイイチロウ）
高野生コン株式会社,1330001013867,窯業・土石製品製造業,〒869-4202熊本県八代市鏡町内田1501,0965652166（0965-65-2166）,10000（千円）,高野　大介（タカノ ダイスケ）
株式会社郡野鉄建,1330001013909,金属製品製造業,〒869-4701熊本県八代市千丁町太牟田1245,0965460836（0965-46-0836）,20000（千円）,代表取締役社長／郡野　幸敏（グンノ ユキトシ）
