会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
尾口石産株式会社,1220001000001,窯業・土石製品製造業,〒920-2315石川県白山市河内町板尾ト8,0762723100（076-272-3100）,10000（千円）,小野島　誠（オノジマ マコト）
株式会社北日本リビルトワークス,1220001000100,一般機械器具製造業,〒920-2132石川県白山市明島町山142-1,0762723334（076-272-3334）,10000（千円）,中川　烈光（ナカガワ タケアキ）
旭漬物株式会社,1220001000760,食料品・飼料・飲料製造業,〒920-0331石川県金沢市大野町4カ19-1,0762683658（076-268-3658）,31000（千円）,石田　孝司（イシダ タカシ）
今井電機株式会社,1220001001214,電気機械器具製造業,〒920-0806石川県金沢市神宮寺2-29-20,0762520521（076-252-0521）,10000（千円）,代表取締役社長／今井　政信（イマイ マサノブ）
江戸屋商事株式会社,1220001001429,衣服・その他の繊維製品製造業,〒921-8026石川県金沢市糸田新町8-11,0762591510（076-259-1510）,10000（千円）,仲谷　誠介（ナカタニ セイスケ）
株式会社刊広社,1220001001734,出版・印刷・同関連産業,〒920-0912石川県金沢市大手町15-26,0762323355（076-232-3355）,88000（千円）,代表取締役社長／北川　淳（キタガワ アツシ）
株式会社加藤晧陽堂,1220001001800,食料品・飼料・飲料製造業,〒920-0051石川県金沢市二口町ニ94-1,0762313053（076-231-3053）,10000（千円）,加藤　晴彦（カトウ ハルヒコ）
肩商事株式会社,1220001001817,"繊維工業（衣服,その他の繊維製品を除く）",〒920-0953石川県金沢市涌波4-8-1,0762228686（076-222-8686）,10000（千円）,肩　幸宏（カタ ユキヒロ）
株式会社紙本鉄工,1220001001908,金属製品製造業,〒920-0377石川県金沢市打木町東315-8,0762491368（076-249-1368）,15000（千円）,紙本　敬章（カミモト ノリアキ）
金沢フード株式会社,1220001002162,食料品・飼料・飲料製造業,〒920-0377石川県金沢市打木町東1302,0762406433（076-240-6433）,20000（千円）,水上　光二（ミズカミ コウジ）
株式会社キタムラ産業塗装,1220001002344,金属製品製造業,〒920-0377石川県金沢市打木町東1454,0762691169（076-269-1169）,10000（千円）,代表取締役社長／北村　隆（キタムラ タカシ）
株式会社越本鉄工,1220001002757,一般機械器具製造業,〒920-0342石川県金沢市畝田西2-88,0762683130（076-268-3130）,10000（千円）,越本　稔（コシモト ミノル）
斉藤精工株式会社,1220001002880,一般機械器具製造業,〒920-0211石川県金沢市湊1-55-25,0762380363（076-238-0363）,10000（千円）,斉藤　隆（サイトウ タカシ）
