会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社アート,1010701014775,ビジネス > 製造・加工（電子・精密機械器具）,〒211-0016神奈川県川崎市中原区市ノ坪322-7,0444346601（044-434-6601）,"",""
株式会社アクト,1013301032016,ビジネス > 製造・加工（工作機械・一般機械器具）,〒222-0033神奈川県横浜市港北区新横浜2-5-4京浜建物第2ビル503,0454784740（045-478-4740）,40000（千円）,小森　義男（コモリ ヨシオ）
株式会社タイショウ,1020001000277,ビジネス > 製造・加工（工作機械・一般機械器具）,〒236-0004神奈川県横浜市金沢区福浦1-15-13,0457917251（045-791-7251）,"",""
株式会社ＤＮＰファインケミカル,1020001002083,ビジネス > 製造・加工（化学・プラスチック）,〒226-0022神奈川県横浜市緑区青砥町450,"","",""
株式会社シルファー,1020001008766,ビジネス > 製造・加工（建築資材）,〒223-0057神奈川県横浜市港北区新羽町964-20,0455464445（045-546-4445）,"",""
株式会社ツインズ,1020001008972,ビジネス > 製造・加工（輸送機械器具）,神奈川県横浜市都筑区茅ヶ崎東4-6-10,0459484567（045-948-4567）,"",""
タシロ産業株式会社,1020001010169,ビジネス > 製造・加工（建築資材）,神奈川県横浜市保土ヶ谷区東川島町字北原1253,"",10000（千円）,田代　精一（タシロ セイイチ）
株式会社中西製作所,1020001013460,ビジネス > 製造・加工（工作機械・一般機械器具）,〒232-0042神奈川県横浜市南区堀ノ内町1-104,0457132361（045-713-2361）,"",""
株式会社タイムリー,1020001015275,ビジネス > 製造・加工（工作機械・一般機械器具）,〒220-0023神奈川県横浜市西区平沼1-29-11大忠ビル1F,0453135161（045-313-5161）,"",""
株式会社高野商店,1020001015366,ビジネス > 製造・加工（工作機械・一般機械器具）,〒220-0042神奈川県横浜市西区戸部町7丁目225,0453220846（045-322-0846）,"",""
富士冷熱株式会社,1020001015845,ビジネス > 製造・加工（工作機械・一般機械器具）,〒220-0041神奈川県横浜市西区戸部本町24-14,0453218877（045-321-8877）,"",""
株式会社不二機工,1020001015878,ビジネス > 製造・加工（工作機械・一般機械器具）,〒220-0061神奈川県横浜市西区久保町54-4,0452414489（045-241-4489）,10000（千円）,斎藤　陽一（サイトウ ヨウイチ）
横浜鉄構株式会社,1020001016298,ビジネス > 製造・加工（工作機械・一般機械器具）,〒231-0813神奈川県横浜市中区かもめ町56,0456217181（045-621-7181）,12000（千円）,村上　誠喜（ムラカミ セイキ）
東海林商工株式会社,1020001017643,ビジネス > 製造・加工（輸送機械器具）,〒230-0071神奈川県横浜市鶴見区駒岡5-1-16,0455713851（045-571-3851）,99000（千円）,東海林　憲彦（シヨウジ ノリヒコ）
