会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
アートパツクス株式会社,1210001000051,出版・印刷・同関連産業,〒918-8188福井県福井市三尾野町29-2-22,0776332300（0776-33-2300）,10000（千円）,代表取締役社長／織田　憲三（オタ ケンゾウ）
足羽印刷株式会社,1210001000084,出版・印刷・同関連産業,〒918-8231福井県福井市問屋町3-212,0776233732（0776-23-3732）,10000（千円）,木田　茂紀（キダ シゲキ）
株式会社宇野,1210001000200,一般機械器具製造業,〒910-0831福井県福井市若栄町325,0776540286（0776-54-0286）,10000（千円）,宇野　隆介（ウノ リユウスケ）
株式会社ウラテツ機械,1210001000217,一般機械器具製造業,〒910-0851福井県福井市米松2-13-5,0776542153（0776-54-2153）,10000（千円）,浦　岩雄（ウラ イワオ）
株式会社エル・ローズ,1210001000431,衣服・その他の繊維製品製造業,〒910-0033福井県福井市三郎丸4-200,0776273131（0776-27-3131）,24000（千円）,代表取締役社長／前川　長慶（マエガワ ナガヨシ）
池田酒造株式会社,1210001000506,食料品・飼料・飲料製造業,〒918-8076福井県福井市本堂町70-1,0776371005（0776-37-1005）,10000（千円）,池田　光男（イケダ ミツオ）
株式会社石福,1210001000530,"繊維工業（衣服,その他の繊維製品を除く）",〒910-2173福井県福井市下東郷町17-8,0776413007（0776-41-3007）,10000（千円）,石田　隆彦（イシダ タカヒコ）
株式会社オーエスファクトリー,1210001000588,衣服・その他の繊維製品製造業,〒919-0449福井県坂井市春江町中筋25-25-1,0776517111（0776-51-7111）,10000（千円）,小川　昇（オガワ ノボル）
大藤鉄工株式会社,1210001000646,一般機械器具製造業,〒910-0134福井県福井市上野本町13-41,0776562488（0776-56-2488）,10000（千円）,代表取締役社長／大藤　眞嗣（オオフジ マサツグ）
株式会社春日木材,1210001000729,木材・木製品製造業（家具を除く）,〒919-0322福井県福井市上河北町10-9-1,0776413833（0776-41-3833）,10000（千円）,杉田　敦則（スギタ アツノリ）
株式会社カツミ工機,1210001000902,一般機械器具製造業,〒910-2172福井県福井市荒木新保町81-3-5,0776413170（0776-41-3170）,10000（千円）,岡本　政幸（オカモト マサユキ）
株式会社小大黒屋商店,1210001001248,化学工業,〒910-0023福井県福井市順化2-15-9,0776220986（0776-22-0986）,10000（千円）,大津　伊平（オオツ イヘイ）
株式会社小林,1210001001272,一般機械器具製造業,〒910-0134福井県福井市上野本町6-8,0776561303（0776-56-1303）,10000（千円）,小林　勇雄（コバヤシ イサオ）
株式会社サカイエルコム,1210001001355,電気機械器具製造業,〒918-8014福井県福井市花堂中1-16-45,0776363161（0776-36-3161）,50000（千円）,代表取締役社長／竹林　久一（タケバヤシ ヒサイチ）
三和メッキ工業株式会社,1210001001495,金属製品製造業,〒918-8063福井県福井市大瀬町5-30-1,0776231639（0776-23-1639）,10000（千円）,代表取締役社長／清水　栄次（シミズ エイジ）
株式会社シセード,1210001001512,その他の製造業,〒918-8188福井県福井市三尾野町29-2-11,0776332200（0776-33-2200）,14700（千円）,代表取締役社長／井関　俊治（イセキ シユンジ）
株式会社清水セイコー,1210001001660,精密機械・医療機械器具製造業,〒918-8016福井県福井市江端町10-9-1,0776385181（0776-38-5181）,10000（千円）,代表取締役社長／清水　賢治（シミズ ケンジ）
新計装株式会社,1210001001751,電気機械器具製造業,〒919-0474福井県坂井市春江町西太郎丸5-7-12,0776516880（0776-51-6880）,10000（千円）,代表取締役社長／大久保　博嗣（オオクボ ヒロツグ）
園井ボデー工業株式会社,1210001001834,輸送用機械器具製造業,〒910-0102福井県福井市川合鷲塚町40,0776550580（0776-55-0580）,10000（千円）,園井　康夫（ソノイ ヤスオ）
第一ビニール株式会社,1210001001966,その他の製造業,〒919-0412福井県坂井市春江町江留中37-10,0776515551（0776-51-5551）,45000（千円）,代表取締役社長／小林　秀夫（コバヤシ ヒデオ）
大研化成工業株式会社,1210001001974,その他の製造業,〒910-0102福井県福井市川合鷲塚町48-5-1,0776550084（0776-55-0084）,10000（千円）,稲澤　仁豊（イナザワ ヒロトヨ）
大旭写真製版株式会社,1210001001982,出版・印刷・同関連産業,〒910-0003福井県福井市松本2-4-34,0776248125（0776-24-8125）,10000（千円）,遠田　公一（トオダ コウイチ）
株式会社タケダ企画,1210001002007,精密機械・医療機械器具製造業,〒918-8112福井県福井市下馬3-429藤本ビル,0776347702（0776-34-7702）,10000（千円）,竹田　欣治（タケダ キンジ）
株式会社ダナックス,1210001002048,"繊維工業（衣服,その他の繊維製品を除く）",〒910-0151福井県福井市栄町10-1,0776564271（0776-56-4271）,90000（千円）,代表取締役社長／山原　謙治（ヤマハラ ケンジ）
株式会社ディプリス,1210001002122,出版・印刷・同関連産業,〒910-0806福井県福井市高木町52-31-3,0776540973（0776-54-0973）,10000（千円）,酒井　泉（サカイ イズミ）
株式会社テクニカルミヤマエ,1210001002130,一般機械器具製造業,〒919-0512福井県坂井市坂井町宮領34-4-5,0776680377（0776-68-0377）,10000（千円）,振川　安功（フリカワ ヤスノリ）
株式会社辻機械,1210001002254,一般機械器具製造業,〒918-8116福井県福井市大町1-306,0776365083（0776-36-5083）,10000（千円）,辻　恵利子（ツジ エリコ）
田嶋酒造株式会社,1210001002353,食料品・飼料・飲料製造業,〒918-8051福井県福井市桃園1-3-10,0776363385（0776-36-3385）,10000（千円）,田嶋　徳彦（タジマ トクヒコ）
日華化学株式会社,1210001002667,化学工業,〒910-0017福井県福井市文京4-23-1,0776240213（0776-24-0213）,2898545（千円）,代表取締役社長／江守　康昌（エモリ ヤスマサ）
株式会社パッセン,1210001002700,出版・印刷・同関連産業,〒910-0158福井県福井市八重巻中町4-5,0776562970（0776-56-2970）,10000（千円）,福井　将二（フクイ シヨウジ）
日之出染工株式会社,1210001002790,"繊維工業（衣服,その他の繊維製品を除く）",〒910-0855福井県福井市西方2-26-5,0776236622（0776-23-6622）,30000（千円）,橋本　章治（ハシモト シヨウジ）
株式会社ハシベ電業社,1210001002972,電気機械器具製造業,〒918-8005福井県福井市みのり1-26-14,0776360266（0776-36-0266）,10000（千円）,酒井　茂実（サカイ シゲミ）
フクイ殖産株式会社,1210001003054,"繊維工業（衣服,その他の繊維製品を除く）",〒918-8012福井県福井市花堂北2-23-38,0776358526（0776-35-8526）,10000（千円）,奥村　秀典（オクムラ ヒデノリ）
株式会社文京精練,1210001003129,"繊維工業（衣服,その他の繊維製品を除く）",〒910-3137福井県福井市石橋町29-75-5,0776518860（0776-51-8860）,45000（千円）,室田　敬司（ムロタ ケイジ）
北陸化成工業株式会社,1210001003442,化学工業,〒910-3613福井県福井市甑谷町29-22-17,0776984670（0776-98-4670）,30000（千円）,代表取締役社長／稲井田　重則（イナイダ シゲノリ）
双葉包装株式会社,1210001003517,"繊維工業（衣服,その他の繊維製品を除く）",〒910-0002福井県福井市町屋2-9-1,0776263320（0776-26-3320）,10000（千円）,吉田　健一郎（ヨシダ ケンイチロウ）
株式会社本多家具工業,1210001003574,家具・装備品製造業,〒910-0063福井県福井市灯明寺3-120,0776264466（0776-26-4466）,10000（千円）,本多　仁（ホンダ ヒトシ）
株式会社ミザガキ,1210001003764,衣服・その他の繊維製品製造業,〒910-0853福井県福井市城東1-13-2,0776233806（0776-23-3806）,10000（千円）,見座垣内　鶴美（ミザガイト ツルミ）
株式会社ミルコン,1210001003839,窯業・土石製品製造業,〒910-0844福井県福井市長本町202,0776528007（0776-52-8007）,98000（千円）,代表取締役社長／見谷　英貞（ミタニ ヒデサダ）
株式会社増茂機業場,1210001003847,"繊維工業（衣服,その他の繊維製品を除く）",〒918-8162福井県福井市角原町32-88,0776381402（0776-38-1402）,10000（千円）,増永　哲夫（マスナガ テツオ）
株式会社松浦絹織,1210001003871,"繊維工業（衣服,その他の繊維製品を除く）",〒910-0158福井県福井市八重巻中町1-8,0776560093（0776-56-0093）,10000（千円）,代表取締役社長／松浦　芳則（マツウラ ヨシノリ）
株式会社マルキヤ宣広社,1210001003946,その他の製造業,〒910-0854福井県福井市御幸4-15-1,0776240348（0776-24-0348）,15000（千円）,代表取締役社長／木下　信一（キノシタ シンイチ）
丸平染色株式会社,1210001003995,"繊維工業（衣服,その他の繊維製品を除く）",〒910-0017福井県福井市文京1-21-16,0776221641（0776-22-1641）,10000（千円）,樋　秀利（カケヒ ヒデトシ）
株式会社横山工藝,1210001004424,出版・印刷・同関連産業,〒918-8051福井県福井市桃園2-1-40,0776366720（0776-36-6720）,10000（千円）,代表取締役社長／横山　国男（ヨコヤマ クニオ）
渡辺繊維株式会社,1210001004473,"繊維工業（衣服,その他の繊維製品を除く）",〒910-3646福井県福井市清水畑町17-21,0776983151（0776-98-3151）,10000（千円）,渡辺　義晃（ワタナベ ヨシアキ）
株式会社エクスタイル,1210001004589,その他の製造業,〒919-0321福井県福井市下河北町11-8-1,0776382533（0776-38-2533）,10000（千円）,月田　雅一（ツキタ マサカズ）
株式会社ノーステック,1210001004713,一般機械器具製造業,〒918-8238福井県福井市和田2-904,0776281006（0776-28-1006）,64000（千円）,細川　式部（ホソカワ シキブ）
株式会社ルネッサ,1210001004812,一般機械器具製造業,〒913-0031福井県坂井市三国町新保97-9-18,0776828283（0776-82-8283）,64000（千円）,代表取締役社長／青木　皇（アオキ タダシ）
コスメラボ株式会社,1210001004837,化学工業,〒910-0017福井県福井市文京4-23-1,0776240213（0776-24-0213）,10000（千円）,龍村　和久（タツムラ カズヒサ）
ユニ繊工業株式会社,1210001007071,衣服・その他の繊維製品製造業,〒919-0522福井県坂井市坂井町上新庄34-1,0776665500（0776-66-5500）,10000（千円）,高島　数雄（タカシマ カズオ）
株式会社オンディーヌ,1210001007088,衣服・その他の繊維製品製造業,〒919-0621福井県あわら市市姫5-11-16,0776734182（0776-73-4182）,10000（千円）,北川　滋幸（キタガワ シゲユキ）
株式会社金津村田製作所,1210001007096,電気機械器具製造業,〒919-0633福井県あわら市花乃杜2-10-28,0776731155（0776-73-1155）,220000（千円）,橋本　省吾（ハシモト シヨウゴ）
株式会社エクシート,1210001007311,出版・印刷・同関連産業,〒919-0482福井県坂井市春江町中庄61-32,0776515678（0776-51-5678）,16000（千円）,代表取締役社長／出口　隆弘（デグチ タカヒロ）
古市株式会社,1210001007410,"繊維工業（衣服,その他の繊維製品を除く）",〒913-0044福井県坂井市三国町山王1-4-7,0776820078（0776-82-0078）,36000（千円）,代表取締役社長／古市　孝一（フルイチ タカカズ）
株式会社横山工業,1210001007468,金属製品製造業,〒913-0044福井県坂井市三国町山王6-6-9,0776828177（0776-82-8177）,10000（千円）,横山　裕生（ヨコヤマ ユウキ）
石津レース株式会社,1210001007492,"繊維工業（衣服,その他の繊維製品を除く）",〒910-0372福井県坂井市丸岡町吉政17-8,0776660335（0776-66-0335）,15000（千円）,石津　元満（イシヅ モトミツ）
株式会社ケーアイ,1210001007534,一般機械器具製造業,〒910-0367福井県坂井市丸岡町羽崎12-16-19,0776671777（0776-67-1777）,10000（千円）,代表取締役社長／今井　和洋（イマイ カズヒロ）
株式会社高嶋,1210001007542,"繊維工業（衣服,その他の繊維製品を除く）",〒910-0233福井県坂井市丸岡町東陽2-5,0776665812（0776-66-5812）,10000（千円）,高嶋　勝美（タカシマ カツミ）
佐藤昭織ネーム株式会社,1210001007550,"繊維工業（衣服,その他の繊維製品を除く）",〒910-0262福井県坂井市丸岡町栄1-428,0776660752（0776-66-0752）,10000（千円）,佐藤　貢（サトウ ミツグ）
福井除雪機株式会社,1210001007633,一般機械器具製造業,〒910-0251福井県坂井市丸岡町一本田福所2-3-1,0776664580（0776-66-4580）,10000（千円）,岩崎　義範（イワサキ ヨシノリ）
マルサンチロル株式会社,1210001007666,出版・印刷・同関連産業,〒910-0371福井県坂井市丸岡町八ツ口2-4-1,0776665000（0776-66-5000）,10000（千円）,三村　冬樹（ミムラ フユキ）
株式会社芦原冷間鍛造,1210001008053,金属製品製造業,〒910-4124福井県あわら市田中々21-21,0776785560（0776-78-5560）,10000（千円）,姉崎　健司（アネザキ ケンジ）
ファーストウッド株式会社,1210001008672,木材・木製品製造業（家具を除く）,〒910-3136福井県福井市川尻町40-126-1,0776880015（0776-88-0015）,498000（千円）,代表取締役社長／辰己　晃一（タツミ コウイチ）
株式会社くまがい,1210001009084,その他の製造業,〒919-0531福井県坂井市坂井町今井37-4,0776721383（0776-72-1383）,5000（千円）,熊谷　利弘（クマガイ トシヒロ）
株式会社橋詰製粉所,1210001009217,食料品・飼料・飲料製造業,〒918-8239福井県福井市成和1-408,0776224734（0776-22-4734）,5000（千円）,橋詰　敏充（ハシヅメ トシミツ）
株式会社リヴィエール,1210001009679,衣服・その他の繊維製品製造業,〒912-0016福井県大野市友江12-7-1,0779660848（0779-66-0848）,10000（千円）,山脇　紋子（ヤマワキ アヤコ）
大野繊維株式会社,1210001009737,"繊維工業（衣服,その他の繊維製品を除く）",〒912-0054福井県大野市糸魚町1-2,0779655750（0779-65-5750）,10000（千円）,黒瀬　泰秀（クロセ ヤスヒデ）
株式会社ジェフティ,1210001009803,"繊維工業（衣服,その他の繊維製品を除く）",〒912-0021福井県大野市中野20-18-1,0779652668（0779-65-2668）,50000（千円）,代表取締役社長／高木　義秀（タカギ ヨシヒデ）
高野繊維株式会社,1210001009828,"繊維工業（衣服,その他の繊維製品を除く）",〒912-0061福井県大野市篠座67-22,0779650011（0779-65-0011）,10000（千円）,高野　幸生（タカノ ユキオ）
株式会社一本義久保本店,1210001009984,食料品・飼料・飲料製造業,〒911-0801福井県勝山市沢町1-3-1,0779872500（0779-87-2500）,15000（千円）,代表取締役社長／久保　善央（クボ ヨシテル）
九頭龍砕石株式会社,1210001010018,窯業・土石製品製造業,〒911-0832福井県勝山市遅羽町蓬生32-94-2,0779883411（0779-88-3411）,20000（千円）,市岡　裕（イチオカ ユタカ）
株式会社フクタカ,1210001010100,輸送用機械器具製造業,〒911-0834福井県勝山市遅羽町大袋61-35,0779883011（0779-88-3011）,60000（千円）,代表取締役社長／棚林　英美（タナバヤシ ヒデミ）
