会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
有明マテリアル株式会社,1010601026516,窯業・土石製品製造業,〒836-0062福岡県大牟田市西港町1-21-1,0944431151（0944-43-1151）,100000（千円）,代表取締役社長／松木薗　正美（マツキゾノ マサミ）
株式会社ハーモニックス,1011801024920,その他の製造業,〒820-0713福岡県飯塚市内住664-6,0948724324（0948-72-4324）,1000（千円）,松田　成孝（マツダ シゲタカ）
一品香食品株式会社,1290001000003,食料品・飼料・飲料製造業,〒811-2501福岡県糟屋郡久山町久原3776-14,0929761414（092-976-1414）,35000（千円）,代表取締役社長／阿野　正樹（アヤ マサキ）
九州製鋼株式会社,1290001000011,"鉄鋼業,非鉄金属製造業",〒811-2501福岡県糟屋郡久山町久原2920,0929761677（092-976-1677）,480000（千円）,代表取締役社長／清本　邦夫（キヨモト クニオ）
株式会社昭和電気研究所,1290001000259,電気機械器具製造業,〒819-0015福岡県福岡市西区愛宕1-14-35,0928810238（092-881-0238）,72000（千円）,代表取締役社長／河井　伴文（カワイ トモフミ）
三共機材株式会社,1290001001298,金属製品製造業,〒811-1313福岡県福岡市南区曰佐5-18-8,0925920887（092-592-0887）,10000（千円）,田中　和正（タナカ カズマサ）
株式会社ミウラ宣伝,1290001002321,その他の製造業,〒811-2207福岡県糟屋郡志免町南里2-24-10,0929367801（092-936-7801）,10000（千円）,三浦　義章（ミウラ ヨシアキ）
株式会社エルパッケージ,1290001002734,その他の製造業,〒812-0055福岡県福岡市東区東浜2-7-75,0926415875（092-641-5875）,300000（千円）,代表取締役社長／内田　誠（ウチダ マコト）
株式会社シーフーズなた,1290001003245,食料品・飼料・飲料製造業,〒811-0201福岡県福岡市東区三苫4-2-16,0926086080（092-608-6080）,10000（千円）,徳永　時太郎（トクナガ トキタロウ）
株式会社東亜電機,1290001003550,電気機械器具製造業,〒812-0068福岡県福岡市東区社領3-6-1,0926216603（092-621-6603）,10000（千円）,代表取締役社長／古賀　健一（コガ ケンイチ）
日進化成工業株式会社,1290001003708,その他の製造業,〒812-0051福岡県福岡市東区箱崎ふ頭6-6-27,0926415551（092-641-5551）,16000（千円）,代表取締役社長／夏山　孝司（ナツヤマ コウジ）
株式会社西新印刷,1290001004747,出版・印刷・同関連産業,〒814-0133福岡県福岡市城南区七隈1-7-37,0928211113（092-821-1113）,10000（千円）,樋川　大作（ヒカワ タイサク）
新日本バネ工業株式会社,1290001005266,金属製品製造業,〒814-0175福岡県福岡市早良区田村6-4-16,0928646309（092-864-6309）,10000（千円）,林　哲志（ハヤシ テツシ）
株式会社コウトク水産,1290001007436,食料品・飼料・飲料製造業,〒810-0072福岡県福岡市中央区長浜3-11-3-703,0927116615（092-711-6615）,10000（千円）,代表取締役社長／崎山　勝喜（サキヤマ カツキ）
株式会社彩成,1290001007592,その他の製造業,〒810-0029福岡県福岡市中央区平尾浄水町8-14ガーデンヒルズ浄水ツー2階,0925236361（092-523-6361）,20000（千円）,末金　厚子（スエカネ アツコ）
株式会社八洋フーズ,1290001009713,食料品・飼料・飲料製造業,〒810-0071福岡県福岡市中央区那の津3-7-7,0927120231（092-712-0231）,10000（千円）,代表取締役社長／川添　勝（カワゾエ マサル）
アイメディア株式会社,1290001010480,出版・印刷・同関連産業,〒810-0075福岡県福岡市中央区港2-11-8,0927214749（092-721-4749）,10000（千円）,本村　一和（モトムラ モトカズ）
江崎機械工業株式会社,1290001011850,一般機械器具製造業,〒812-0007福岡県福岡市博多区東比恵2-12-13,0924111424（092-411-1424）,18800（千円）,松山　実（マツヤマ ミノル）
株式会社エムエムエフ,1290001011966,一般機械器具製造業,〒812-0892福岡県福岡市博多区東那珂2-14-26,0924312746（092-431-2746）,10000（千円）,城島　英一（ジヨウジマ エイイチ）
株式会社木季工房,1290001012634,家具・装備品製造業,〒812-0853福岡県福岡市博多区東平尾1-16-30,0926228744（092-622-8744）,10000（千円）,多比良　恒二（タヒラ コウジ）
株式会社坂本電機製作所,1290001013343,一般機械器具製造業,〒811-0202福岡県福岡市東区和白3-27-55,0926062731（092-606-2731）,30000（千円）,坂本　恒俊（サカモト ツネトシ）
眞栄印刷株式会社,1290001013582,出版・印刷・同関連産業,〒812-0035福岡県福岡市博多区中呉服町10-6,0922710615（092-271-0615）,10000（千円）,吉田　隆利（ヨシダ タカトシ）
