会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
伊藤建設株式会社,1380001000142,ビジネス > 製造・加工（工作機械・一般機械器具）,〒960-2151福島県福島市桜本字前畑10-1,0245942781（024-594-2781）,"",""
ミドリ電機製造株式会社,1380001001685,ビジネス > 製造・加工（工作機械・一般機械器具）,〒960-1231福島県福島市松川町沼袋字北原6,0245672161（024-567-2161）,40000（千円）,代表取締役社長／松村　不二夫（マツムラ フジオ）
株式会社大河内メリヤス,1380001003161,ビジネス > 製造・加工（衣料関連）,〒960-0676福島県伊達市保原町千刈12,0245752333（024-575-2333）,30000（千円）,代表取締役社長／大河内　善栄（オオコウチ ゼンエイ）
株式会社新栄製作所,1380001003178,ビジネス > 製造・加工（鉄鋼製品）,福島県伊達市保原町字早稲田25,0245762128（024-576-2128）,"",""
株式会社イースト,1380001003830,ビジネス > 製造・加工（食料品）,〒960-8153福島県福島市黒岩字中沖15-2,0245453332（024-545-3332）,"",""
有田特殊工業株式会社,1380001004515,ビジネス > 製造・加工（工作機械・一般機械器具）,〒963-8811福島県郡山市方八町2-8-16,0249441474（024-944-1474）,10000（千円）,有田　典子（アリタ ミチコ）
株式会社三伸製作所,1380001005331,ビジネス > 製造・加工（非鉄金属製品）,〒963-0725福島県郡山市田村町金屋字川久保15-3,0249441033（024-944-1033）,"",""
株式会社サンビックス,1380001005364,ビジネス > 製造・加工（鉄鋼製品）,〒963-8061福島県郡山市富久山町福原字長沼13番地,0249335755（024-933-5755）,"",""
福昭産業株式会社,1380001006354,ビジネス > 製造・加工（鉄鋼製品）,〒963-0725福島県郡山市田村町金屋字孫右衛門平73,0249431248（024-943-1248）,30000（千円）,代表取締役社長／林　和宏（ハヤシ カズヒロ）
福島水処理株式会社,1380001006536,ビジネス > 製造・加工（工作機械・一般機械器具）,〒963-0547福島県郡山市喜久田町卸3-20,0249630123（024-963-0123）,10000（千円）,代表取締役社長／加藤　文雄（カトウ フミオ）
株式会社伸ちゃん牧場,1380001008598,ビジネス > 製造・加工（食料品）,〒963-3311福島県田村郡小野町湯沢字登舘25,0247725057（0247-72-5057）,10000（千円）,長谷川　栄伸（ハセガワ ヨシノブ）
株式会社エムテック,1380001010117,ビジネス > 製造・加工（金属製品）,〒961-0012福島県白河市本沼宮久保23,0248227500（0248-22-7500）,"",""
株式会社シーズ,1380001010579,ビジネス > 製造・加工（建築資材）,〒963-6146福島県東白川郡棚倉町戸中字高内186-6,0247352214（0247-35-2214）,"",""
山本電気株式会社,1380001011420,ビジネス > 製造・加工（装置・設備）,〒962-0818福島県須賀川市和田道116,0248733181（0248-73-3181）,"",""
株式会社ノボル,1380001011916,ビジネス > 製造・加工（非鉄金属製品）,〒963-7855福島県石川郡石川町猫啼143-1,0247261017（0247-26-1017）,20000（千円）,十文字　昭三（ジユウモンジ シヨウゾウ）
株式会社小名浜船舶鉱業,1380001012609,ビジネス > 製造・加工（窯業・土石）,〒971-8101福島県いわき市小名浜渚廻13-5,0246549670（0246-54-9670）,25980（千円）,代表取締役社長／西山　久樹（ニシヤマ ヒサキ）
太陽自動車株式会社,1380001013276,ビジネス > 製造・加工（輸送機械器具）,〒971-8151福島県いわき市小名浜岡小名字沖18,0246542266（0246-54-2266）,"",""
本多商事株式会社,1380001013821,ビジネス > 製造・加工（食料品）,〒979-0201福島県いわき市四倉町東一-68,0246323933（0246-32-3933）,"",""
株式会社フジマツ,1380001015561,ビジネス > 製造・加工（化学・プラスチック）,〒975-0027福島県南相馬市原町区上北高平字高松313,0244235041（0244-23-5041）,"",""
株式会社藤加工所,1380001015925,ビジネス > 製造・加工（化学・プラスチック）,〒979-2305福島県南相馬市鹿島区永田字永田48,0244465105（0244-46-5105）,10000（千円）,小泉　賢一（コイズミ ケンイチ）
株式会社アパレルハウス,1380001016428,ビジネス > 製造・加工（衣料関連）,〒979-1526福島県双葉郡浪江町牛渡字北荒神5-1,0240345477（0240-34-5477）,"",""
株式会社お菓子のアトリエ,1380001017319,ビジネス > 製造・加工（食料品）,〒965-0034福島県会津若松市上町4-24,0242253825（0242-25-3825）,"",""
株式会社アズール,1380001018473,ビジネス > 製造・加工（衣料関連）,〒969-4406福島県耶麻郡西会津町野沢字芝草後乙1780-1,0241453434（0241-45-3434）,"",""
株式会社鈴木板金工業,1380001018515,ビジネス > 製造・加工（金属製品）,〒969-6512福島県河沼郡会津坂下町沼越村東337-2,0242823545（0242-82-3545）,"",""
ＪＵＫＩ会津株式会社,1380001018647,ビジネス > 製造・加工（化学・プラスチック）,〒969-3532福島県喜多方市塩川町小府根字近江75,0241273102（0241-27-3102）,479400（千円）,代表取締役社長／村田　秋信（ムラタ アキノブ）
有限会社河野工業,1380002004167,ビジネス > 製造・加工（金属製品）,〒960-1244福島県福島市松川町関谷字割石65,0245487345（024-548-7345）,"",""
有限会社渡辺製作所,1380002006452,ビジネス > 製造・加工（化学・プラスチック）,〒960-0765福島県伊達市梁川町大関間野4,0245772063（024-577-2063）,"",""
有限会社あいすの城,1380002007335,ビジネス > 製造・加工（食料品）,〒963-1155福島県郡山市田村町守山字上河原1-8,0249555115（024-955-5115）,"",""
有限会社伊藤特殊車体,1380002007888,ビジネス > 製造・加工（輸送機械器具）,〒963-0531福島県郡山市日和田町高倉字枇杷湖12-1,0249583375（024-958-3375）,5000（千円）,代表取締役／伊藤　武雄（イトウ タケオ）
有限会社渡辺エンジニアリング,1380002013151,ビジネス > 製造・加工（工作機械・一般機械器具）,〒963-1155福島県郡山市田村町守山字弥明293-2,0249554424（024-955-4424）,"",""
有限会社上妻製作所,1380002014075,ビジネス > 製造・加工（電子・精密機械器具）,〒963-8034福島県郡山市島2-7-1,0247824957（0247-82-4957）,3000（千円）,上妻　義（アガツマ タダシ）
有限会社ヤマダフィルター,1380002017367,ビジネス > 製造・加工（窯業・土石）,〒964-0904福島県二本松市郭内2-415,0243220723（0243-22-0723）,3000（千円）,山田　二郎（ヤマダ ジロウ）
有限会社西部電機,1380002019974,ビジネス > 製造・加工（非鉄金属製品）,〒962-0046福島県須賀川市泉田字雁沢83-3,0248624667（0248-62-4667）,"",""
有限会社西間木組,1380002020098,ビジネス > 製造・加工（金属製品）,〒962-0853福島県須賀川市前川3-1,0248763141（0248-76-3141）,"",""
有限会社ヨーケン,1380002020362,ビジネス > 製造・加工（工作機械・一般機械器具）,〒962-0055福島県須賀川市新町98,0248763582（0248-76-3582）,"",""
有限会社平田製作所,1380002025650,ビジネス > 製造・加工（電子・精密機械器具）,〒974-8232福島県いわき市錦町曲田111,0246632874（0246-63-2874）,"",""
有限会社吉田工業,1380002026673,ビジネス > 製造・加工（工作機械・一般機械器具）,〒974-8261福島県いわき市植田町西荒田28-10,0246639238（0246-63-9238）,"",""
有限会社丸栄コーポレーション,1380002028001,ビジネス > 製造・加工（工作機械・一般機械器具）,〒971-8101福島県いわき市小名浜中原14-3,0246545579（0246-54-5579）,3000（千円）,吉田　久（ヨシダ ヒサシ）
有限会社昭文堂,1380002028414,ビジネス > 製造・加工（木製品・紙・パルプ関連）,〒976-0042福島県相馬市中村2-7,0244352363（0244-35-2363）,"",""
有限会社相馬精型,1380002028587,ビジネス > 製造・加工（工作機械・一般機械器具）,〒976-0011福島県相馬市新沼字,0244386552（0244-38-6552）,"",""
有限会社平井製作所,1380002029032,ビジネス > 製造・加工（工作機械・一般機械器具）,〒975-0018福島県南相馬市原町区北町29-1,0244222103（0244-22-2103）,"",""
有限会社佐藤石材,1380002029635,ビジネス > 製造・加工（その他）,〒960-1721福島県相馬郡飯舘村飯樋字西原560,0244432648（0244-43-2648）,"",""
有限会社カネマン,1380002031558,ビジネス > 製造・加工（金属製品）,〒969-6185福島県会津若松市北会津町下米塚松原2300-2,0242582251（0242-58-2251）,"",""
有限会社山久,1380002035162,ビジネス > 製造・加工（木製品・紙・パルプ関連）,〒966-0096福島県喜多方市押切南2-12,0241221911（0241-22-1911）,"",""
酒井建設合資会社,1380003001997,ビジネス > 製造・加工（木製品・紙・パルプ関連）,〒968-0421福島県南会津郡只見町只見新町2181-6,0241822809（0241-82-2809）,"",""
株式会社池田鉄工,2380001000133,ビジネス > 製造・加工（工作機械・一般機械器具）,〒960-1103福島県福島市平石字古屋敷4-2,0245465907（024-546-5907）,10000（千円）,代表取締役／池田　良信（イケダ ヨシノブ）
英和産業株式会社,2380001000208,ビジネス > 製造・加工（非鉄金属製品）,〒960-8156福島県福島市田沢字姥懐52-3,0245484503（024-548-4503）,"",""
株式会社大水,2380001000281,ビジネス > 製造・加工（食料品）,〒960-0211福島県福島市飯坂町湯野字大水口10-1,0245425427（024-542-5427）,"",""
菊田木材株式会社,2380001000364,ビジネス > 製造・加工（木製品・紙・パルプ関連）,〒960-8057福島県福島市笹木野字下屋敷7,0245573646（024-557-3646）,"",""
株式会社北芝テクノ,2380001000372,ビジネス > 製造・加工（装置・設備）,〒960-1241福島県福島市松川町字原77-1,0245674311（024-567-4311）,14500（千円）,筒井　敏和（ツツイ トシカズ）
トーニチ株式会社,2380001001230,ビジネス > 製造・加工（食料品）,〒960-0101福島県福島市瀬上町字新田中通1-3,0245522161（024-552-2161）,"",""
東栄食品株式会社,2380001003193,ビジネス > 製造・加工（食料品）,〒960-0634福島県伊達市保原町大泉字道下39-1,0245754168（024-575-4168）,18000（千円）,鈴木　賢治（スズキ ケンジ）
株式会社ベストワーク,2380001003862,ビジネス > 製造・加工（建築資材）,〒960-0426福島県伊達市坂ノ下30-4,0245511575（024-551-1575）,"",""
株式会社コスモテック,2380001005099,ビジネス > 製造・加工（電子・精密機械器具）,〒963-0551福島県郡山市喜久田町字菖蒲池22-438,0249595501（024-959-5501）,"",""
サン電機工業株式会社,2380001005347,ビジネス > 製造・加工（電子・精密機械器具）,〒963-0551福島県郡山市喜久田町菖蒲池23-143,0249595050（024-959-5050）,"",""
郡山生コン日和田株式会社,2380001007624,ビジネス > 製造・加工（金属製品）,〒963-0107福島県郡山市安積1-24-2,0249452040（024-945-2040）,10000（千円）,渋川　敏行（シブカワ トシユキ）
株式会社移電機製作所,2380001007896,ビジネス > 製造・加工（電子・精密機械器具）,〒963-4541福島県田村市船引町上移字後田20,0247862720（0247-86-2720）,"",""
株式会社三條鉄工場,2380001008671,ビジネス > 製造・加工（非鉄金属製品）,〒963-7741福島県田村郡三春町八島台3-3-2,0247625151（0247-62-5151）,5000（千円）,三條　安國（サンジヨウ ヤスクニ）
オールナビクオーツ株式会社,2380001008721,ビジネス > 製造・加工（窯業・土石）,〒963-0551福島県郡山市喜久田町字菖蒲池22-551,0249595377（024-959-5377）,1000（千円）,武田　邦義（タケダ クニヨシ）
株式会社鉄扇屋,2380001009422,ビジネス > 製造・加工（衣料関連）,〒969-1404福島県二本松市油井字八軒町45,0243221322（0243-22-1322）,40000（千円）,代表取締役社長／佐藤　順一（サトウ ジユンイチ）
コバテック株式会社,2380001009661,ビジネス > 製造・加工（化学・プラスチック）,〒969-1107福島県本宮市青田字東万風46-2,0243333111（0243-33-3111）,"",""
白岩生コン株式会社,2380001009711,ビジネス > 製造・加工（金属製品）,〒969-1206福島県本宮市長屋字中島27-1,0243443997（0243-44-3997）,10000（千円）,菅野　忠男（カンノ タダオ）
日工技研株式会社,2380001010371,ビジネス > 製造・加工（化学・プラスチック）,〒969-0306福島県白河市大信豊地字並木95,0248463077（0248-46-3077）,"",""
ブレードブレー株式会社,2380001010396,ビジネス > 製造・加工（衣料関連）,〒961-0975福島県白河市立石山2,0248222222（0248-22-2222）,50000（千円）,代表取締役社長／檀野　秀幸（ダンノ ヒデユキ）
志賀工業株式会社,2380001010925,ビジネス > 製造・加工（木製品・紙・パルプ関連）,〒961-0102福島県西白河郡中島村滑津字岡ノ内26,0248523307（0248-52-3307）,20000（千円）,志賀　正行（シガ マサユキ）
菅野産業株式会社,2380001011171,ビジネス > 製造・加工（金属製品）,〒962-0801福島県須賀川市江持字岩崎1,0248752355（0248-75-2355）,10000（千円）,菅野　憲夫（カンノ ノリオ）
梶川工業株式会社,2380001012649,ビジネス > 製造・加工（電子・精密機械器具）,〒979-3131福島県いわき市平赤井日渡125-1,0246254235（0246-25-4235）,10000（千円）,梶川　由喜（カジカワ ヨシユキ）
常磐生コン株式会社,2380001012995,ビジネス > 製造・加工（金属製品）,〒972-8316福島県いわき市常磐西郷町銭田210,0246432101（0246-43-2101）,70000（千円）,代表取締役社長／根本　克頼（ネモト カツヨリ）
清野木材株式会社,2380001013168,ビジネス > 製造・加工（木製品・紙・パルプ関連）,〒979-0141福島県いわき市勿来町窪田道作22,0246652685（0246-65-2685）,10000（千円）,清野　進（セイノ ススム）
トカチ資材株式会社,2380001013465,ビジネス > 製造・加工（木製品・紙・パルプ関連）,〒971-8126福島県いわき市小名浜野田字田中141,0246583186（0246-58-3186）,10000（千円）,水谷　彰美（ミズタニ アキヨシ）
株式会社鈴木材木店,2380001015627,ビジネス > 製造・加工（木製品・紙・パルプ関連）,〒975-0003福島県南相馬市原町区栄町3-93,0244223188（0244-22-3188）,"",""
株式会社東田林業製材,2380001016344,ビジネス > 製造・加工（食料品）,〒975-0071福島県南相馬市原町区深野字入龍田117-9,0244232640（0244-23-2640）,5000（千円）,東田　貴史（ヒガシダ タカシ）
株式会社共栄,2380001017383,ビジネス > 製造・加工（生活雑貨・日用品）,〒965-0858福島県会津若松市神指町南四合字幕ノ内西351-3,0242271254（0242-27-1254）,"",""
株式会社松本産業,2380001017870,ビジネス > 製造・加工（生活雑貨・日用品）,〒965-0858福島県会津若松市神指町南四合字幕内西351-2,0242270624（0242-27-0624）,"",""
有限会社佐藤板金,2380002001535,ビジネス > 製造・加工（金属製品）,〒960-8012福島県福島市御山町2-9,0245349626（024-534-9626）,"",""
有限会社佐戸川ダクト鈑金工業所,2380002001551,ビジネス > 製造・加工（金属製品）,〒960-8003福島県福島市森合字道端2-17,0245348037（024-534-8037）,10000（千円）,取締役社長／佐戸川　政実（サトガワ マサミ）
有限会社小泉製作所,2380002005701,ビジネス > 製造・加工（非鉄金属製品）,〒960-1406福島県伊達郡川俣町鶴沢字京田34-10,0245652249（024-565-2249）,"",""
有限会社泉屋商店,2380002007846,ビジネス > 製造・加工（食料品）,〒963-8813福島県郡山市芳賀2-9-12,0249443228（024-944-3228）,"",""
有限会社さくら製菓,2380002009628,ビジネス > 製造・加工（食料品）,〒963-7725福島県田村郡三春町鷹巣字後田80-2,0247628226（0247-62-8226）,"",""
有限会社橋本機工,2380002011501,ビジネス > 製造・加工（金属製品）,〒963-8803福島県郡山市横塚2-3-12,0249436514（024-943-6514）,"",""
有限会社根本製作所,2380002016491,ビジネス > 製造・加工（工作機械・一般機械器具）,〒964-0801福島県二本松市向作田57-3,0243233322（0243-23-3322）,"",""
