会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社品川合成製作所,1010701004082,その他の製造業,〒013-0106秋田県横手市平鹿町中吉田上藤根192,0182242181（0182-24-2181）,11000（千円）,代表取締役社長／佐藤　貴（サトウ タカシ）
新生グラビア株式会社,1150001006526,出版・印刷・同関連産業,〒016-0171秋田県能代市河戸川南西山18-5,0185545667（0185-54-5667）,20000（千円）,内山　明（ウチヤマ アキラ）
秋田カイハツ生コンクリート株式会社,1410001000213,窯業・土石製品製造業,〒011-0901秋田県秋田市寺内蛭根85-18,0188452169（018-845-2169）,25000（千円）,松渕　愼司（マツブチ シンジ）
株式会社秋田メタル,1410001000568,金属製品製造業,〒010-0038秋田県秋田市楢山城南新町33-21,0188351295（018-835-1295）,15000（千円）,渡部　昇（ワタナベ ノボル）
株式会社フロム・エー,1410001001087,出版・印刷・同関連産業,〒010-0061秋田県秋田市卸町3-5-5,0188643784（018-864-3784）,10000（千円）,五嶋　建二（ゴシマ ケンジ）
株式会社新和工芸,1410001001418,その他の製造業,〒011-0901秋田県秋田市寺内蛭根85-64,0188633721（018-863-3721）,10000（千円）,石塚　敏博（イシヅカ トシヒロ）
株式会社杉山寿山堂,1410001001434,食料品・飼料・飲料製造業,〒010-0941秋田県秋田市川尻町大川反233-199,0188235185（018-823-5185）,15000（千円）,藤井　明（フジイ アキラ）
株式会社田口フードサービス,1410001001665,食料品・飼料・飲料製造業,〒010-1633秋田県秋田市新屋鳥木町4-46,0188280178（018-828-0178）,30000（千円）,代表取締役社長／田口　明（タグチ アキラ）
株式会社東北機工,1410001001905,金属製品製造業,〒010-1601秋田県秋田市向浜1-5-17,0188637154（018-863-7154）,10000（千円）,長尾　征史（ナガオ マサフミ）
日本メッキ株式会社,1410001002077,金属製品製造業,〒011-0951秋田県秋田市土崎港相染町浜ナシ山123-3,0188454643（018-845-4643）,20000（千円）,伊藤　芳信（イトウ ヨシノブ）
株式会社増田鉄工場,1410001002382,一般機械器具製造業,〒010-0951秋田県秋田市山王6-11-3,0188236436（018-823-6436）,70000（千円）,代表取締役社長／雜賀　匠（サイカ タクミ）
ユーティーケー工業株式会社,1410001002614,金属製品製造業,〒019-2611秋田県秋田市河辺戸島七曲台120-18,0188823388（018-882-3388）,30000（千円）,代表取締役会長／土井　義昭（ドイ ヨシアキ）
井川機械工業株式会社,1410001003380,一般機械器具製造業,〒018-1523秋田県南秋田郡井川町坂本三嶽下168,0188742425（018-874-2425）,10000（千円）,小林　憲一郎（コバヤシ ケンイチロウ）
株式会社共同スチール,1410001003752,金属製品製造業,〒011-0951秋田県秋田市土崎港相染町浜ナシ山113-1,0188806808（018-880-6808）,2000（千円）,野村　伊佐夫（ノムラ イサオ）
株式会社秋田鋼機工業所,1410001003868,金属製品製造業,〒010-1601秋田県秋田市向浜1-5-13,0188627322（018-862-7322）,10000（千円）,高橋　健一（タカハシ ケンイチ）
株式会社モリセイ秋田工場,1410001004148,輸送用機械器具製造業,〒010-0431秋田県男鹿市払戸横長根54-5,0185463123（0185-46-3123）,60000（千円）,毛利　隆（モウリ タカシ）
由利カイハツ生コンクリート株式会社,1410001004949,窯業・土石製品製造業,〒015-0055秋田県由利本荘市土谷金山沢5-10,0184231063（0184-23-1063）,20000（千円）,代表取締役社長／金野　博（コンノ ヒロシ）
株式会社秋田マシナリー,1410001005088,金属製品製造業,〒018-0148秋田県にかほ市象潟町字下浜山9-20,0184432236（0184-43-2236）,10000（千円）,渋谷　市子（シブヤ イチコ）
日南工業株式会社,1410001005187,食料品・飼料・飲料製造業,〒018-0411秋田県にかほ市院内此木沢6,0184362111（0184-36-2111）,26500（千円）,代表取締役社長／細谷　広志（ホソヤ ヒロシ）
矢島通商株式会社,1410001005237,衣服・その他の繊維製品製造業,〒015-0412秋田県由利本荘市矢島町川辺道端45,0184562317（0184-56-2317）,10000（千円）,原　浩彰（ハラ ヒロアキ）
株式会社秋田ニューバイオファーム,1410001005261,食料品・飼料・飲料製造業,〒018-0604秋田県由利本荘市西目町沼田新道下490-5,0184334150（0184-33-4150）,80600（千円）,代表取締役社長／鈴木　幸夫（スズキ ユキオ）
株式会社システムインアート,1410001005311,一般機械器具製造業,〒018-0604秋田県由利本荘市西目町沼田新道下2-101,0184332845（0184-33-2845）,3000（千円）,田口　俊一（タグチ シユンイチ）
株式会社うえさか,1410001005609,家具・装備品製造業,〒012-0105秋田県湯沢市川連町高掵下7,0183422136（0183-42-2136）,20000（千円）,上坂　憲一郎（ウエサカ ケンイチロウ）
株式会社小町の国手づくり工房,1410001005848,食料品・飼料・飲料製造業,〒019-0321秋田県湯沢市秋ノ宮小渕ケ沢14,0183552969（0183-55-2969）,261900（千円）,高橋　チヱ子（タカハシ チエコ）
株式会社北鹿,1410001006136,食料品・飼料・飲料製造業,〒017-0043秋田県大館市有浦2-2-3,0186422101（0186-42-2101）,30000（千円）,代表取締役会長／小山　景一（コヤマ ケイイチ）
櫻庭木材株式会社,1410001006350,木材・木製品製造業（家具を除く）,〒018-4513秋田県北秋田市小又堂の下44-3,0186752031（0186-75-2031）,90000（千円）,代表取締役社長／後藤　則明（ゴトウ ノリアキ）
秋田扶桑精工株式会社,1410001006383,一般機械器具製造業,〒018-4231秋田県北秋田市上杉金沢178-710,0186784111（0186-78-4111）,30000（千円）,前田　順也（マエダ ジユンヤ）
株式会社佐藤材木店,1410001006425,木材・木製品製造業（家具を除く）,〒018-3333秋田県北秋田市坊沢深関街道下17,0186620718（0186-62-0718）,10000（千円）,佐藤　雅樹（サトウ マサキ）
秋田リサイクル・アンド・ファインパック株式会社,1410001006490,"鉄鋼業,非鉄金属製造業",〒017-0202秋田県鹿角郡小坂町小坂鉱山尾樽部76-1,0186292188（0186-29-2188）,40000（千円）,代表取締役／木村　鋭（キムラ エイ）
十和田カイハツ生コンクリート株式会社,1410001006631,窯業・土石製品製造業,〒018-5334秋田県鹿角市十和田毛馬内下土ケ久保19-7,0186352320（0186-35-2320）,15000（千円）,代表取締役社長／渡邊　初男（ワタナベ ハツオ）
株式会社ミートランド,1410001006672,食料品・飼料・飲料製造業,〒018-5141秋田県鹿角市八幡平外川原31-1,0186323010（0186-32-3010）,451200（千円）,代表取締役社長／山本　秀樹（ヤマモト ヒデキ）
米代産業株式会社,1410001006689,窯業・土石製品製造業,〒018-5337秋田県鹿角市十和田末広白根方65-1,0186353164（0186-35-3164）,10000（千円）,板橋　努（イタバシ ツトム）
アキタクロージング株式会社,1410001006697,衣服・その他の繊維製品製造業,〒018-5745秋田県大館市比内町片貝伊勢堂北94,0186552912（0186-55-2912）,30000（千円）,塩谷　良久（エンヤ ヨシヒサ）
株式会社カネイ溶接,1410001006929,金属製品製造業,〒018-5201秋田県鹿角市花輪上中島82,0186258234（0186-25-8234）,1000（千円）,門脇　早江子（カドワキ サエコ）
株式会社トワダソーラー,1410001006961,電気機械器具製造業,〒018-5331秋田県鹿角市十和田山根上ノ平1-3,0186352010（0186-35-2010）,150000（千円）,青山　文明（アオヤマ ノリアキ）
株式会社大潟印刷,1410001007043,出版・印刷・同関連産業,〒016-0806秋田県能代市清助町2-2,0185546633（0185-54-6633）,20000（千円）,代表取締役社長／大嶋　治（オオシマ オサム）
丸秋段ボール工業株式会社,1410001007258,パルプ・紙・紙加工品製造業,〒016-0121秋田県能代市鰄渕古川反55,0185582980（0185-58-2980）,10000（千円）,禿　卓味（カムロ タクミ）
株式会社グラノプト,1410001007530,電気機械器具製造業,〒016-0122秋田県能代市扇田扇渕4-4,0185701800（0185-70-1800）,150000（千円）,代表取締役社長／関和　秀幸（セキワ ヒデユキ）
秋田県南生コン株式会社,1410001007836,窯業・土石製品製造業,〒014-0001秋田県大仙市花館大戸下川原3-26,0187621397（0187-62-1397）,25000（千円）,佐々木　勇（ササキ イサム）
ナガイ白衣工業株式会社,1410001008033,衣服・その他の繊維製品製造業,〒019-1701秋田県大仙市神宮寺内大坪67,0187871155（0187-87-1155）,50000（千円）,代表取締役社長／澤登　一郎（サワノボリ イチロウ）
株式会社ミラドール,1410001008082,衣服・その他の繊維製品製造業,〒019-1701秋田県大仙市神宮寺宇留井谷地26-2,0187723923（0187-72-3923）,10000（千円）,高寺　一（タカテラ ハジメ）
株式会社秋田今野商店,1410001008173,食料品・飼料・飲料製造業,〒014-0000秋田県大仙市字刈和野248,0187751250（0187-75-1250）,36000（千円）,代表取締役社長／今野　宏（コンノ ヒロシ）
今泉ピーエスエム株式会社,1410001008181,金属製品製造業,〒019-2111秋田県大仙市土川刈布沢24-25,0187751350（0187-75-1350）,10000（千円）,今泉　寿生（イマイズミ トシオ）
株式会社ユーイーアイ,1410001008388,皮革・同製品・毛皮製造業,〒014-0067秋田県大仙市飯田大道端40-14,0187638027（0187-63-8027）,10000（千円）,加藤　タヱ（カトウ タエ）
株式会社谷口,1410001008537,金属製品製造業,〒014-1115秋田県仙北市田沢湖小松城廻99-5,0187544161（0187-54-4161）,10000（千円）,谷口　忠徳（タニグチ タダノリ）
阿櫻酒造株式会社,1410001008768,食料品・飼料・飲料製造業,〒013-0041秋田県横手市大沢西野67-2,0182320126（0182-32-0126）,60000（千円）,田中　文悟（タナカ ブンゴ）
株式会社京家,1410001008818,食料品・飼料・飲料製造業,〒013-0052秋田県横手市大屋寺内堀ノ内337-2,0182335918（0182-33-5918）,10000（千円）,藤井　武雄（フジイ タケオ）
株式会社トラストシール,1410001008875,出版・印刷・同関連産業,〒013-0351秋田県横手市大雄字田根森東103-5,0182523732（0182-52-3732）,20000（千円）,高橋　進（タカハシ ススム）
横手精工株式会社,1410001008941,電気機械器具製造業,〒013-0811秋田県横手市安本南御所野10-18,0182325211（0182-32-5211）,80000（千円）,代表取締役社長／佐々木　又英（ササキ マタヒデ）
株式会社美遊希,1410001009023,衣服・その他の繊維製品製造業,〒013-0561秋田県横手市大森町八沢木中房5-6,0182263232（0182-26-3232）,10000（千円）,佐々木　隆（ササキ タカシ）
株式会社サン・プレシジョン,1410001009114,一般機械器具製造業,〒013-0001秋田県横手市杉沢中杉沢535-3,0182328411（0182-32-8411）,10000（千円）,山本　承義（ヤマモト シゲヨシ）
株式会社ワシヤ木工,1410001009873,家具・装備品製造業,〒018-3103秋田県能代市二ツ井町荷上場中島115,0185733450（0185-73-3450）,14000（千円）,菊池　利彦（キクチ トシヒコ）
株式会社ナガクラ,1410001010138,衣服・その他の繊維製品製造業,〒019-0509秋田県横手市十文字町梨木沖野10-2,0182424335（0182-42-4335）,1000（千円）,長倉　稔一（ナガクラ トシカズ）
有限会社猪田石材店,1410002000699,窯業・土石製品製造業,〒010-0062秋田県秋田市牛島東1-10-32,0188336470（018-833-6470）,3000（千円）,猪田　博樹（イノタ ヒロキ）
有限会社ウサモト,1410002000757,食料品・飼料・飲料製造業,〒010-0001秋田県秋田市中通5-5-20,0188326982（018-832-6982）,3000（千円）,船木　保郎（フナキ ヤスロウ）
有限会社今野木工所,1410002001549,家具・装備品製造業,〒010-0035秋田県秋田市楢山城南町4-5,0188327933（018-832-7933）,3000（千円）,今野　敏範（コンノ トシノリ）
有限会社三皇シーリング,1410002001648,出版・印刷・同関連産業,〒010-0063秋田県秋田市牛島西3-5-11,0188647021（018-864-7021）,3000（千円）,柴田　忍（シバタ シノブ）
有限会社サトウ工芸,1410002001763,その他の製造業,〒010-1605秋田県秋田市新屋勝平町8-38,0188634222（018-863-4222）,3000（千円）,佐藤　信之（サトウ ノブユキ）
有限会社佐田商店,1410002001813,食料品・飼料・飲料製造業,〒011-0946秋田県秋田市土崎港中央1-1-1,0188450755（018-845-0755）,3000（千円）,代表取締役社長／佐田　博（サタ ヒロシ）
有限会社司アート,1410002002563,パルプ・紙・紙加工品製造業,〒010-1427秋田県秋田市仁井田新田1-3-36,0188395513（018-839-5513）,4000（千円）,庄司　十喜雄（シヨウジ トキオ）
有限会社村田屋,1410002003677,食料品・飼料・飲料製造業,〒010-0062秋田県秋田市牛島東5-9-28,0188322839（018-832-2839）,3000（千円）,円城寺　洋（エンジヨウジ ヒロシ）
有限会社矢沢ネオン工業,1410002003751,その他の製造業,〒010-0063秋田県秋田市牛島西1-1-47,0188344419（018-834-4419）,3000（千円）,矢沢　郁雄（ヤザワ イクオ）
有限会社エーシーピー,1410002005467,パルプ・紙・紙加工品製造業,〒010-0201秋田県潟上市天王棒沼台300-4,0188722400（018-872-2400）,3000（千円）,勘林　志津子（カンバヤシ シヅコ）
有限会社大原木工所,1410002005475,家具・装備品製造業,〒018-1502秋田県潟上市飯田川下虻川屋敷175,0188773413（018-877-3413）,3000（千円）,大原　貞之助（オオハラ テイノスケ）
有限会社横谷工業,1410002005946,金属製品製造業,〒018-1401秋田県潟上市昭和大久保小橋19,0188773935（018-877-3935）,3000（千円）,横谷　勉（ヨコヤ ツトム）
有限会社三和アルミ鋼建,1410002005970,金属製品製造業,〒011-0951秋田県秋田市土崎港相染町浜ナシ山17-5,0188463685（018-846-3685）,10（千円）,秋山　泰憲（アキヤマ ヤスノリ）
有限会社プレ・テック男鹿,1410002006457,金属製品製造業,〒010-0511秋田県男鹿市船川港船川海岸通り二号9-9,0185232346（0185-23-2346）,3000（千円）,渋谷　光郎（シブヤ ミツロウ）
有限会社美豊,1410002006944,一般機械器具製造業,〒015-0362秋田県由利本荘市東鮎川石垣52-19,0184328220（0184-32-8220）,3000（千円）,小松　正美（コマツ マサミ）
有限会社ケィイーシー,1410002007216,一般機械器具製造業,〒018-0103秋田県にかほ市象潟町字上狐森9-393,0184629510（0184-62-9510）,3000（千円）,熊谷　修（クマガイ オサム）
有限会社ＳＤＣアイテック,1410002007265,一般機械器具製造業,〒018-0311秋田県にかほ市金浦十二林106-6,0184384220（0184-38-4220）,3000（千円）,伊藤　知（イトウ サトリ）
