会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
館林アスコン株式会社,1011301004241,石油製品・石炭製品製造業,〒374-0042群馬県館林市近藤町665,0276734432（0276-73-4432）,10000（千円）,代表取締役社長／大谷　仁也（オオタニ ジンヤ）
アルミエース株式会社,1011401000446,金属製品製造業,〒370-0503群馬県邑楽郡千代田町赤岩3296-1,0276866475（0276-86-6475）,10000（千円）,森　雅哉（モリ マサヤ）
レイリサーチ株式会社,1030001030018,電気機械器具製造業,〒375-0024群馬県藤岡市藤岡1690-5,0274402420（0274-40-2420）,30147（千円）,中村　寿人（ナカムラ ヒサト）
ウォールボンド工業株式会社,1060001019363,化学工業,〒370-0603群馬県邑楽郡邑楽町中野130,0276882681（0276-88-2681）,30000（千円）,代表取締役社長／松下　眞一郎（マツシタ シンイチロウ）
有限会社テックマネージメント,1060002036787,その他の製造業,〒373-0016群馬県太田市矢田堀町750-2,0276501269（0276-50-1269）,3000（千円）,梅原　一剛（ウメハラ カズヨシ）
株式会社朝日ぐんま,1070001000149,出版・印刷・同関連産業,〒371-0805群馬県前橋市南町4-37-8シャトレ南1階,0272211435（027-221-1435）,10000（千円）,井口　文英（イグチ フミヒデ）
株式会社イシバシエージェンシー,1070001000280,電気機械器具製造業,〒371-0244群馬県前橋市鼻毛石町892-2,0272832969（027-283-2969）,10000（千円）,井上　晴雄（イノウエ ハルオ）
株式会社大谷人形,1070001000504,その他の製造業,〒371-0851群馬県前橋市総社町植野559-5,0272510283（027-251-0283）,10000（千円）,大谷　芙美雄（オオタニ フミオ）
小野塚精機株式会社,1070001000669,一般機械器具製造業,〒370-3513群馬県高崎市北原町853,0273738811（027-373-8811）,10000（千円）,柳原　健也（ヤナギハラ ケンヤ）
株式会社カネニ群馬,1070001000727,食料品・飼料・飲料製造業,〒371-0114群馬県前橋市富士見町田島210-1,0272887531（027-288-7531）,10000（千円）,代表取締役社長／高橋　孝夫（タカハシ タカオ）
株式会社クラマエ,1070001001130,金属製品製造業,〒379-2153群馬県前橋市上大島町176-44蔵前産業株式会社内,0272613552（027-261-3552）,10000（千円）,橋本　勝（ハシモト マサル）
晃陽電機産業株式会社,1070001001205,電気機械器具製造業,〒371-0233群馬県前橋市横沢町444-1,0272837714（027-283-7714）,10000（千円）,女屋　洋一（オナヤ ヨウイチ）
老舗三俣せんべい株式会社,1070001001618,食料品・飼料・飲料製造業,〒371-0018群馬県前橋市三俣町1-19-20,0272313838（027-231-3838）,10000（千円）,吉田　将輝（ヨシダ マサキ）
芝入印刷株式会社,1070001001626,出版・印刷・同関連産業,〒371-0833群馬県前橋市光が丘町4-20,0272527914（027-252-7914）,10000（千円）,芝入　富士夫（シバイリ フジオ）
株式会社高取製作所,1070001001997,"鉄鋼業,非鉄金属製造業",〒371-0845群馬県前橋市鳥羽町304,0272514111（027-251-4111）,99000（千円）,小野　靖浩（オノ ヤスヒロ）
東洋圧造株式会社,1070001002244,金属製品製造業,〒371-0131群馬県前橋市鳥取町157-2,0272692211（027-269-2211）,90000（千円）,河野　修治（コウノ シユウジ）
日本包装システム株式会社,1070001002434,パルプ・紙・紙加工品製造業,〒379-2153群馬県前橋市上大島町182,0272614455（027-261-4455）,60000（千円）,池畠　正英（イケハタ マサヒデ）
株式会社日本木工振興,1070001002442,家具・装備品製造業,〒371-0016群馬県前橋市城東町5-650-1,0272235123（027-223-5123）,10000（千円）,五十嵐　真知子（イガラシ マチコ）
