会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社スミハツ,1010001020516,金属製品製造業,〒309-1246茨城県桜川市高森1158,0296585161（0296-58-5161）,345000（千円）,代表取締役社長／木村　文昭（キムラ フミアキ）
株式会社ニッショー化学,1011701013552,化学工業,〒310-0836茨城県水戸市元吉田町2778-6,0292278470（029-227-8470）,50（千円）,佐々木　正人（ササキ マサト）
関東ゴム工業株式会社,1011801006811,ゴム製品製造業,〒306-0113茨城県古河市谷貝671-1,0280782409（0280-78-2409）,10000（千円）,森　大樹（モリ タイキ）
株式会社西郡製作所,1011801010895,一般機械器具製造業,〒300-2406茨城県つくばみらい市福岡2461-2,0297524800（0297-52-4800）,10000（千円）,西郡　秀明（ニシゴオリ ヒデアキ）
株式会社ノブレス,1013201004552,化学工業,〒300-0331茨城県稲敷郡阿見町阿見5384-1,0298878055（029-887-8055）,10000（千円）,吉岡　将一郎（ヨシオカ シヨウイチロウ）
有限会社石井熊吉製作所,1020002080260,一般機械器具製造業,〒300-0121茨城県かすみがうら市宍倉6147-38,0298311051（029-831-1051）,3000（千円）,石井　賢司（イシイ ケンジ）
株式会社森角ダイカスト,1030001022007,"鉄鋼業,非鉄金属製造業",〒306-0641茨城県坂東市鵠戸1224-2,0297351121（0297-35-1121）,10000（千円）,代表取締役社長／森角　英雄（モリズミ ヒデオ）
株式会社マテックス精工,1030001042905,一般機械器具製造業,〒300-1245茨城県つくば市高崎丸金1498,0298783370（029-878-3370）,70000（千円）,中林　昭太郎（ナカバヤシ シヨウタロウ）
株式会社岩井化成,1030001063612,その他の製造業,〒306-0605茨城県坂東市馬立1263-2,0297351879（0297-35-1879）,10000（千円）,代表取締役社長／清水　弘（シミズ ヒロシ）
株式会社クリエイションデバイス,1040001046509,一般機械器具製造業,〒300-1512茨城県取手市藤代932,0297856500（0297-85-6500）,3000（千円）,松岡　義博（マツオカ ヨシヒロ）
株式会社あけぼの印刷社,1050001000126,出版・印刷・同関連産業,〒310-0804茨城県水戸市白梅1-2-11,0292278284（029-227-8284）,30000（千円）,代表取締役社長／山田　周（ヤマダ シユウ）
株式会社茨城メディアシステム,1050001000324,出版・印刷・同関連産業,〒310-0804茨城県水戸市白梅1-8-14和光ビル2F,0293003288（029-300-3288）,18000（千円）,星野　洋雄（ホシノ ノリオ）
株式会社三愛工芸,1050001001025,その他の製造業,〒311-4143茨城県水戸市大塚町1761-16,0292512051（029-251-2051）,30000（千円）,千葉　安宣（チバ ヤスノリ）
常陽工業株式会社,1050001001157,電気機械器具製造業,〒311-4141茨城県水戸市赤塚1-2083-6,0292512453（029-251-2453）,10000（千円）,越智　一美（オチ ヒトミ）
新日本工芸株式会社,1050001001248,その他の製造業,〒311-4153茨城県水戸市河和田町3891,0292510997（029-251-0997）,10000（千円）,大曽根　功（オオソネ イサオ）
株式会社福俵,1050001002163,食料品・飼料・飲料製造業,〒311-4205茨城県水戸市下国井町台畑718,0292396660（029-239-6660）,10000（千円）,鈴木　茂（スズキ シゲル）
水戸暖冷工業株式会社,1050001002898,一般機械器具製造業,〒311-3115茨城県東茨城郡茨城町前田1680,0292920811（029-292-0811）,50000（千円）,代表取締役社長／坪井　豊太郎（ツボイ トヨタロウ）
大一機材工業株式会社,1050001002923,金属製品製造業,〒319-0206茨城県笠間市安居2561-2,0299566007（0299-56-6007）,48000（千円）,代表取締役社長／橋本　智文（ハシモト トモフミ）
大縄林業原木株式会社,1050001002972,木材・木製品製造業（家具を除く）,〒319-0304茨城県水戸市有賀町1916,0292595865（029-259-5865）,21000（千円）,代表取締役社長／大縄　良夫（オオナワ ヨシオ）
茨城スチールセンター株式会社,1050001004564,金属製品製造業,〒311-0102茨城県那珂市向山1281,0292982151（029-298-2151）,100000（千円）,代表取締役社長／村田　寛和（ムラタ ヒロカズ）
株式会社日乃本米菓製造,1050001005067,食料品・飼料・飲料製造業,〒311-0111茨城県那珂市後台1487-8,0292981515（029-298-1515）,10000（千円）,代表取締役社長／吉田　英昭（ヨシダ ヒデアキ）
株式会社日立金型技研,1050001005736,金属製品製造業,〒319-1112茨城県那珂郡東海村村松3115-9,0292821337（029-282-1337）,3000（千円）,小田島　猛（オダジマ タケシ）
株式会社青山製作所茨城工場,1050001006536,金属製品製造業,〒312-0036茨城県ひたちなか市津田東2-1-1,0292724335（029-272-4335）,48000（千円）,青山　幸義（アオヤマ ユキヨシ）
株式会社エイコー・エンジニアリング,1050001006610,精密機械・医療機械器具製造業,〒311-1251茨城県ひたちなか市山崎50,0292657401（029-265-7401）,18000（千円）,高橋　泰平（タカハシ タイヘイ）
