会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社井筒造船所,1310001000157,輸送用機械器具製造業,〒850-0952長崎県長崎市戸町4-11-11,0958784236（095-878-4236）,17000（千円）,代表取締役社長／吉原　隆（ヨシハラ タカシ）
株式会社岩永印刷所,1310001000181,出版・印刷・同関連産業,〒850-0823長崎県長崎市弥生町8-30,0958212341（095-821-2341）,10000（千円）,岩永　泰明（イワナガ ヒロアキ）
株式会社丸金,1310001002070,一般機械器具製造業,〒850-0977長崎県長崎市土井首町510-2,0958787878（095-878-7878）,60000（千円）,代表取締役社長／木庭　吉昭（コバ ヨシアキ）
株式会社ムカイ技研,1310001002145,輸送用機械器具製造業,〒850-0985長崎県長崎市平瀬町3-10,0958783331（095-878-3331）,15000（千円）,向井　良昭（ムカイ ヨシアキ）
三菱長崎機工株式会社,1310001002161,一般機械器具製造業,〒851-0301長崎県長崎市深堀町1-2-1,0958712211（095-871-2211）,900000（千円）,代表取締役社長／白石　公正（シライシ キミマサ）
山道水産株式会社,1310001002285,食料品・飼料・飲料製造業,〒850-0861長崎県長崎市江戸町2-32,0958235850（095-823-5850）,10000（千円）,山道　英司（ヤマミチ ヒデノリ）
良生コンクリート株式会社,1310001002310,窯業・土石製品製造業,〒852-8035長崎県長崎市油木町35-53,0958484035（095-848-4035）,14000（千円）,代表取締役社長／松尾　吉悟（マツオ ヨシノリ）
技研開発株式会社,1310001003028,一般機械器具製造業,〒851-2108長崎県西彼杵郡時津町日並郷3803,0958828866（095-882-8866）,20000（千円）,内野　正博（ウチノ マサヒロ）
株式会社横川木型製作所,1310001003390,木材・木製品製造業（家具を除く）,〒851-3103長崎県長崎市琴海戸根町2694-2,0958840024（095-884-0024）,25000（千円）,横川　栄（ヨコガワ サカエ）
株式会社山晃,1310001003424,金属製品製造業,〒851-2121長崎県西彼杵郡長与町岡郷1474-22,0958871011（095-887-1011）,3000（千円）,山崎　晃（ヤマサキ アキラ）
株式会社桑宮製作所,1310001003779,一般機械器具製造業,〒851-0407長崎県長崎市川原町297,0958921092（095-892-1092）,3000（千円）,桑宮　一善（クワミヤ カズヨシ）
株式会社みやび園,1310001003829,食料品・飼料・飲料製造業,〒851-2211長崎県長崎市京泊1-1-42,0958500321（095-850-0321）,10000（千円）,代表取締役社長／太田　統（オオタ ハジメ）
