会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
ＶＡＩＯ株式会社,1010001159610,電気機械器具製造業,〒399-8205長野県安曇野市豊科5432,0263507015（0263-50-7015）,513000（千円）,大田　義実（オオタ ヨシミ）
株式会社ビオカ,1010801005121,食料品・飼料・飲料製造業,〒381-2403長野県長野市信州新町水内3381,0262625755（026-262-5755）,75817（千円）,宮越　盛也（ミヤコシ モリヤ）
有限会社ラムテクノロジーズ,1040002061762,電気機械器具製造業,〒399-0005長野県松本市野溝木工1-3-29ヒルトワタナベ301号,0263875641（0263-87-5641）,3000（千円）,梅山　恵一郎（ウメヤマ ケイイチロウ）
株式会社アンサーテック,1100001000104,電気機械器具製造業,〒388-8014長野県長野市篠ノ井塩崎3737-9,0262929709（026-292-9709）,10000（千円）,北村　文幸（キタムラ フミユキ）
アサカワ電子株式会社,1100001000112,電気機械器具製造業,〒381-0056長野県長野市浅川押田143-22,0262431345（026-243-1345）,10000（千円）,碓井　将啓（ウスイ マサヒロ）
株式会社市川精機,1100001000260,一般機械器具製造業,〒381-0025長野県長野市北長池2018-1,0262444790（026-244-4790）,94300（千円）,代表取締役社長／鈴木　徹（スズキ トオル）
フィフティワン株式会社,1100001000995,化学工業,〒381-2216長野県長野市下氷鉋1-8-4,0262860300（026-286-0300）,10000（千円）,馬場　浩（ババ ヒロシ）
株式会社サンエイテツク,1100001001052,"鉄鋼業,非鉄金属製造業",〒381-2225長野県長野市篠ノ井岡田519-1,0262922157（026-292-2157）,10000（千円）,代表取締役社長／竹内　透（タケウチ トオル）
信州包装株式会社,1100001001300,パルプ・紙・紙加工品製造業,〒381-2225長野県長野市篠ノ井岡田501,0262922098（026-292-2098）,15000（千円）,代表取締役社長／中澤　勝（ナカザワ マサル）
株式会社シー・ケー・テクノ,1100001001341,一般機械器具製造業,〒381-2225長野県長野市篠ノ井岡田433-1,0262929811（026-292-9811）,13500（千円）,千野　勝義（チノ カツヨシ）
神保製本株式会社,1100001001440,出版・印刷・同関連産業,〒380-0901長野県長野市居町1739,0262283501（026-228-3501）,10000（千円）,神保　房彦（ジンボ フサヒコ）
中央プリント株式会社,1100001001969,出版・印刷・同関連産業,〒380-0935長野県長野市中御所3-2-6,0262270333（026-227-0333）,10000（千円）,代表取締役社長／佐野　修一（サノ シユウイチ）
株式会社司電子工業,1100001002018,一般機械器具製造業,〒380-0928長野県長野市若里6-11-1,0262260531（026-226-0531）,10000（千円）,林　義郎（ハヤシ ヨシロウ）
東京法令出版株式会社,1100001002125,出版・印刷・同関連産業,〒380-0822長野県長野市鶴賀南千歳町1005,0262245441（026-224-5441）,90000（千円）,代表取締役社長／星沢　卓也（ホシザワ タクヤ）
