会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
青森オフセット印刷株式会社,1420001000030,出版・印刷・同関連産業,〒030-0802青森県青森市本町2-11-16,0177751431（017-775-1431）,50000（千円）,三上　伸（ミカミ シン）
北日本水産株式会社,1420001000716,食料品・飼料・飲料製造業,〒030-0921青森県青森市原別1-6-20,0177363002（017-736-3002）,20000（千円）,小笠原　誠峰（オガサワラ ノブタカ）
株式会社高栄ダクト工業,1420001000856,金属製品製造業,〒038-0031青森県青森市三内丸山381-95,0177818061（017-781-8061）,10000（千円）,高坂　恭人（コウサカ ヤスヒト）
株式会社種金山野辺商店,1420001001359,食料品・飼料・飲料製造業,〒030-0853青森県青森市金沢3-16-16,0177763822（017-776-3822）,10000（千円）,山野辺　辰美（ヤマノベ タツミ）
株式会社テジマ,1420001001425,金属製品製造業,〒030-0142青森県青森市野木山口245-2,0177399711（017-739-9711）,20000（千円）,代表取締役社長／手島　正人（テジマ マサト）
株式会社東日オフセット,1420001001490,出版・印刷・同関連産業,〒030-0142青森県青森市野木山口164-22,0177626131（017-762-6131）,60000（千円）,代表取締役社長／鈴木　明寿（スズキ アキトシ）
株式会社丸石沼田商店,1420001001895,食料品・飼料・飲料製造業,〒030-0811青森県青森市青柳2-12-10,0177752651（017-775-2651）,10000（千円）,代表取締役社長／沼田　廣（ヌマタ ヒロシ）
株式会社丸タ水産,1420001001929,食料品・飼料・飲料製造業,〒038-0002青森県青森市沖館4-5-33,0177810561（017-781-0561）,10000（千円）,蛸島　長司（タコシマ チヨウジ）
芳山食品株式会社,1420001002191,食料品・飼料・飲料製造業,〒038-0032青森県青森市里見1-23-36,0177663939（017-766-3939）,10000（千円）,芳山　信子（ヨシヤマ ノブコ）
ワタナベサービス株式会社,1420001002241,出版・印刷・同関連産業,〒030-0803青森県青森市安方2-17-3,0177771388（017-777-1388）,10000（千円）,渡邊　啓太郎（ワタナベ ケイタロウ）
株式会社ハケタ水産,1420001002316,食料品・飼料・飲料製造業,〒039-3332青森県東津軽郡平内町清水川和山52-8,0177562100（017-756-2100）,10000（千円）,代表取締役社長／八桁　由悦（ハケタ ヨシエツ）
株式会社ヤマジンフーズ,1420001004717,食料品・飼料・飲料製造業,〒038-0059青森県青森市油川岡田262-5,0177633370（017-763-3370）,3000（千円）,八桁　恵美（ヤケタ メグミ）
レイテックス工業株式会社,1420001004849,一般機械器具製造業,〒030-0947青森県青森市浜館3-4-8,0177181235（017-718-1235）,2000（千円）,福井　智基（フクイ トモキ）
株式会社アーク,1420001005558,電気機械器具製造業,〒039-1103青森県八戸市長苗代内舟渡39-10,0178208526（0178-20-8526）,1500（千円）,久保　夢頼（クボ ミライ）
株式会社エーアンドエム,1420001005616,その他の製造業,〒031-0823青森県八戸市湊高台3-3-3,0178350789（0178-35-0789）,10000（千円）,木村　光徳（キムラ ミツノリ）
東北飼料株式会社,1420001006176,食料品・飼料・飲料製造業,〒039-1161青森県八戸市河原木海岸24-8,0178202161（0178-20-2161）,200000（千円）,古谷　暁（フルヤ サトル）
株式会社中長印刷,1420001006259,出版・印刷・同関連産業,〒031-0072青森県八戸市城下4-24-23,0178443362（0178-44-3362）,22000（千円）,中村　正明（ナカムラ マサアキ）
熊さん第三工場株式会社,1420001006432,食料品・飼料・飲料製造業,〒031-0072青森県八戸市城下4-10-40,0178439245（0178-43-9245）,20000（千円）,杉本　忠雄（スギモト タダオ）
新北菱林産株式会社,1420001006481,木材・木製品製造業（家具を除く）,〒039-1161青森県八戸市河原木青森谷地3三菱製紙株式会社八戸工場内,0178292531（0178-29-2531）,70000（千円）,代表取締役社長／金濱　福美（カネハマ フクミ）
株式会社丸昌工藤商店,1420001006589,皮革・同製品・毛皮製造業,〒039-2241青森県八戸市市川町下揚45-71,0178526108（0178-52-6108）,15000（千円）,工藤　忠雄（クドウ タダオ）
株式会社小野寺醸造元,1420001006779,食料品・飼料・飲料製造業,〒039-0132青森県三戸郡三戸町在府小路町39,0179233070（0179-23-3070）,10000（千円）,小野寺　昭夫（オノデラ アキオ）
東北山田車体工業株式会社,1420001006960,輸送用機械器具製造業,〒039-1524青森県三戸郡五戸町豊間内地蔵平1-750,0178611111（0178-61-1111）,10000（千円）,代表取締役社長／中村　仁（ナカムラ ヒトシ）
株式会社橋本製パン,1420001006969,食料品・飼料・飲料製造業,〒039-1517青森県三戸郡五戸町字丁塚7-3,0178622521（0178-62-2521）,10000（千円）,小笠原　紀明（オガサワラ ノリアキ）
センサ工業株式会社,1420001007538,電気機械器具製造業,〒031-0813青森県八戸市新井田出口平21-1,0178252002（0178-25-2002）,70000（千円）,清水　修平（シミズ シユウヘイ）
株式会社アドプリンター,1420001007678,出版・印刷・同関連産業,〒039-1164青森県八戸市下長2-3-23,0178212250（0178-21-2250）,3000（千円）,齋藤　正顕（サイトウ マサアキ）
