会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
愛工業株式会社,1080001000024,その他の製造業,〒422-8033静岡県静岡市駿河区登呂6-2-5,0542860305（054-286-0305）,30000（千円）,代表取締役社長／杉山　顯一郎（スギヤマ ケンイチロウ）
株式会社秋山機械,1080001000148,一般機械器具製造業,〒421-0106静岡県静岡市駿河区北丸子1-30-10,0542592779（054-259-2779）,10000（千円）,代表取締役社長／小口　郁哉（オグチ イクヤ）
株式会社一富士製菓,1080001000453,食料品・飼料・飲料製造業,〒422-8058静岡県静岡市駿河区中原881,0542829118（054-282-9118）,22000（千円）,石川　輝雄（イシカワ テルオ）
株式会社岩崎功商店,1080001000494,食料品・飼料・飲料製造業,〒420-0001静岡県静岡市葵区井宮町134,0542715055（054-271-5055）,10000（千円）,岩崎　正樹（イワサキ マサキ）
岩本鋼板工業株式会社,1080001000503,金属製品製造業,〒420-0821静岡県静岡市葵区柚木50-10,0542617141（054-261-7141）,18000（千円）,岩本　浩孝（イワモト ヒロタカ）
株式会社岳南木工商会,1080001001006,家具・装備品製造業,〒421-1212静岡県静岡市葵区千代537-1,0542788512（054-278-8512）,10000（千円）,代表取締役社長／本多　秀一郎（ホンダ ヒデイチロウ）
株式会社カネイチ小柳商店,1080001001063,食料品・飼料・飲料製造業,〒421-0122静岡県静岡市駿河区用宗1-11-8,0542593891（054-259-3891）,10000（千円）,小柳　喜彦（コヤナギ ヨシヒコ）
株式会社グローバルサンワ,1080001001303,その他の製造業,〒420-0923静岡県静岡市葵区川合3-20-1,0542635254（054-263-5254）,10000（千円）,小野田　展之（オノダ ノブユキ）
株式会社小島康平商店,1080001001484,食料品・飼料・飲料製造業,〒420-0015静岡県静岡市葵区錦町19,0542521955（054-252-1955）,20000（千円）,小島　康平（コジマ コウヘイ）
株式会社左京,1080001001658,その他の製造業,〒420-0067静岡県静岡市葵区幸町2-8,0542534828（054-253-4828）,10000（千円）,望月　和人（モチヅキ カズヒト）
株式会社高岡屋,1080001001848,食料品・飼料・飲料製造業,〒422-8044静岡県静岡市駿河区西脇698,0542828071（054-282-8071）,51000（千円）,岡田　哲太朗（オカダ テツタロウ）
株式会社ジェイ・アップ,1080001001880,"鉄鋼業,非鉄金属製造業",〒422-8026静岡県静岡市駿河区富士見台3-10-1,0542865011（054-286-5011）,10000（千円）,佐野　淳子（サノ ジユンコ）
株式会社スキル,1080001002268,その他の製造業,〒421-0135静岡県静岡市駿河区小坂2544-1,0542577375（054-257-7375）,10000（千円）,木下　收平（キノシタ シユウヘイ）
株式会社スパジオ・シブタケ,1080001002342,その他の製造業,〒420-0068静岡県静岡市葵区田町2-79-2,0542552285（054-255-2285）,20000（千円）,奈良間　茂（ナラマ シゲル）
株式会社スルガ通信,1080001002391,電気機械器具製造業,〒420-0812静岡県静岡市葵区古庄4-1-34,0542641816（054-264-1816）,10000（千円）,安樂　憲彦（アンラク ノリヒコ）
株式会社ゼンワールド,1080001002557,化学工業,〒422-8033静岡県静岡市駿河区登呂6-3-21,0546545111（054-654-5111）,70000（千円）,松井　延之（マツイ ノブユキ）
静岡金属工業株式会社,1080001002689,電気機械器具製造業,〒420-0067静岡県静岡市葵区幸町52,0542554000（054-255-4000）,11000（千円）,代表取締役社長／仲本　博昭（ナカモト ヒロアキ）
株式会社静岡製作所,1080001002747,木材・木製品製造業（家具を除く）,〒420-0946静岡県静岡市葵区伊呂波町1-30,0542711212（054-271-1212）,10000（千円）,海野　修（ウンノ オサム）
株式会社スルガ精密,1080001002755,金属製品製造業,〒421-0113静岡県静岡市駿河区下川原1-6-7,0542570360（054-257-0360）,10000（千円）,阿曽　健市（アソ ケンイチ）
第一製茶株式会社,1080001003043,食料品・飼料・飲料製造業,〒420-0011静岡県静岡市葵区安西2-20,0542711231（054-271-1231）,10000（千円）,望月　英明（モチヅキ ヒデアキ）
タイコー精密株式会社,1080001003068,一般機械器具製造業,〒421-1221静岡県静岡市葵区牧ケ谷2005,0542785301（054-278-5301）,10000（千円）,大石　康之（オオイシ ヤスユキ）
第三通商株式会社,1080001003101,食料品・飼料・飲料製造業,〒420-0005静岡県静岡市葵区北番町113,0542711211（054-271-1211）,10000（千円）,吉川　成夫（ヨシカワ ナルオ）
株式会社ダイマツ,1080001003150,ゴム製品製造業,〒422-8044静岡県静岡市駿河区西脇435,0542816111（054-281-6111）,45000（千円）,代表取締役社長／種本　裕一（タネモト ユウイチ）
株式会社竹大工房,1080001003217,木材・木製品製造業（家具を除く）,〒420-0007静岡県静岡市葵区柳町183,0542713550（054-271-3550）,10000（千円）,大村　俊男（オオムラ トシオ）
東海熱工業株式会社,1080001003506,一般機械器具製造業,〒422-8037静岡県静岡市駿河区下島503-18,0542377361（054-237-7361）,12000（千円）,富田　恭三（トミタ キヨウゾウ）
株式会社東英印刷紙工,1080001003646,パルプ・紙・紙加工品製造業,〒421-1221静岡県静岡市葵区牧ケ谷2026,0542783810（054-278-3810）,10000（千円）,鈴木　秀一（スズキ シユウイチ）
中原精密株式会社,1080001003885,一般機械器具製造業,〒421-0112静岡県静岡市駿河区東新田1-5-28,0542588457（054-258-8457）,10000（千円）,岩崎　篤（イワサキ アツシ）
日興美術株式会社,1080001003984,出版・印刷・同関連産業,〒420-0922静岡県静岡市葵区流通センター12-2,0542632211（054-263-2211）,30000（千円）,代表取締役社長／桜井　幹一郎（サクライ カンイチロウ）
日本レーベル印刷株式会社,1080001004140,出版・印刷・同関連産業,〒422-8004静岡県静岡市駿河区国吉田3-1-1,0542621111（054-262-1111）,30000（千円）,代表取締役社長／岩井　泰次郎（イワイ タイジロウ）
株式会社バイオエステート,1080001004181,食料品・飼料・飲料製造業,〒422-8037静岡県静岡市駿河区下島161-1,0542370218（054-237-0218）,10000（千円）,阿萬　逸夫（アマン イツオ）
ファシル株式会社,1080001004520,衣服・その他の繊維製品製造業,〒421-0113静岡県静岡市駿河区下川原6-26-22,0542580214（054-258-0214）,10000（千円）,八木　法明（ヤギ ノリアキ）
富厚里製茶株式会社,1080001004537,食料品・飼料・飲料製造業,〒421-1315静岡県静岡市葵区富厚里297,0542790011（054-279-0011）,10000（千円）,佐藤　元彦（サトウ モトヒコ）
株式会社プラト,1080001004628,その他の製造業,〒421-1213静岡県静岡市葵区山崎2-8-6,0542784187（054-278-4187）,10000（千円）,亀山　哲也（カメヤマ テツヤ）
平成テツク株式会社,1080001004660,一般機械器具製造業,〒422-8044静岡県静岡市駿河区西脇661-1,0542820202（054-282-0202）,10000（千円）,大川内　清利（オオカワウチ キヨトシ）
株式会社前田金三郎商店,1080001004784,食料品・飼料・飲料製造業,〒420-0018静岡県静岡市葵区土太夫町27,0542522098（054-252-2098）,10000（千円）,前田　冨佐夫（マエダ フサオ）
株式会社まつよ,1080001004891,出版・印刷・同関連産業,〒422-8058静岡県静岡市駿河区中原596-2,0542877782（054-287-7782）,30000（千円）,中田　春實（ナカタ ハルミ）
株式会社丸源鉄工所,1080001004941,一般機械器具製造業,〒421-1221静岡県静岡市葵区牧ケ谷2121,0542783655（054-278-3655）,10000（千円）,代表取締役社長／鈴木　敏弘（スズキ トシヒロ）
株式会社丸六高田商店,1080001005048,食料品・飼料・飲料製造業,〒420-0017静岡県静岡市葵区葵町47,0542520693（054-252-0693）,10000（千円）,高田　吉敏（タカダ ヨシトシ）
ミサキ電子工業株式会社,1080001005072,電気機械器具製造業,〒420-0009静岡県静岡市葵区神明町38-6,0542712155（054-271-2155）,63000（千円）,大畑　春己（オオハタ ハルミ）
株式会社宮地ステンレス,1080001005155,金属製品製造業,〒422-8027静岡県静岡市駿河区豊田2-6-35,0542822131（054-282-2131）,10000（千円）,宮地　恭二（ミヤチ キヨウジ）
茗広茶業株式会社,1080001005213,食料品・飼料・飲料製造業,〒420-0005静岡県静岡市葵区北番町117-4,0542718161（054-271-8161）,15000（千円）,代表取締役社長／長瀬　隆（ナガセ タカシ）
山崎工業株式会社,1080001005403,電気機械器具製造業,〒422-8064静岡県静岡市駿河区新川1-7-9,0542853221（054-285-3221）,100000（千円）,代表取締役社長／田中　真人（タナカ マコト）
株式会社やまだいち,1080001005428,食料品・飼料・飲料製造業,〒422-8033静岡県静岡市駿河区登呂5-15-13,0542872111（054-287-2111）,10000（千円）,山田　照敏（ヤマダ テルトシ）
株式会社ユニフオームの海野,1080001005527,衣服・その他の繊維製品製造業,〒420-0821静岡県静岡市葵区柚木250,0542613239（054-261-3239）,10000（千円）,海野　宏之（ウンノ ヒロユキ）
株式会社ライト産業,1080001005584,その他の製造業,〒422-8005静岡県静岡市駿河区池田496-1,0542621710（054-262-1710）,10000（千円）,松村　敏夫（マツムラ トシオ）
レーザメイト株式会社,1080001005733,精密機械・医療機械器具製造業,〒422-8006静岡県静岡市駿河区曲金5-6-19,0542863229（054-286-3229）,13000（千円）,鈴木　正輝（スズキ マサキ）
株式会社東海軒,1080001006013,食料品・飼料・飲料製造業,〒422-8033静岡県静岡市駿河区登呂6-5-35,0542875171（054-287-5171）,10500（千円）,平尾　清（ヒラオ キヨシ）
伊豆川飼料株式会社,1080001007606,食料品・飼料・飲料製造業,〒424-0035静岡県静岡市清水区横砂南町4-35,0543661236（054-366-1236）,12000（千円）,伊豆川　徹三（イズカワ テツゾウ）
伊藤化学株式会社,1080001007622,電気機械器具製造業,〒424-0052静岡県静岡市清水区北脇354-1,0543496861（054-349-6861）,10000（千円）,伊藤　仁（イトウ ヒトシ）
興津螺旋株式会社,1080001007746,金属製品製造業,〒424-0204静岡県静岡市清水区興津中町1424,0543690111（054-369-0111）,35000（千円）,代表取締役社長／柿澤　宏一（カキサワ コウイチ）
株式会社カクイチ,1080001007837,食料品・飼料・飲料製造業,〒424-0016静岡県静岡市清水区天王西1-13,0543675566（054-367-5566）,10000（千円）,市川　公勇（イチカワ キミオ）
株式会社協立精工,1080001007903,一般機械器具製造業,〒424-0065静岡県静岡市清水区長崎568-1,0543467131（054-346-7131）,10000（千円）,田中　幹也（タナカ ミキヤ）
株式会社菊月本店,1080001007911,食料品・飼料・飲料製造業,〒424-0068静岡県静岡市清水区長崎南町9-21,0543453090（054-345-3090）,10000（千円）,川岸　豊（カワギシ ユタカ）
駒越食品株式会社,1080001007993,食料品・飼料・飲料製造業,〒424-0907静岡県静岡市清水区駒越東町10-8,0543342277（054-334-2277）,10000（千円）,代表取締役社長／田中　邦典（タナカ クニノリ）
株式会社サスナデリコム,1080001008083,食料品・飼料・飲料製造業,〒424-0805静岡県静岡市清水区愛染町34-1,0543662233（054-366-2233）,18000（千円）,代表取締役社長／深澤　泰介（フカザワ ヤスユキ）
承元寺工業株式会社,1080001008331,一般機械器具製造業,〒424-0201静岡県静岡市清水区承元寺町339-1,0543694104（054-369-4104）,10000（千円）,望月　一令（モチヅキ カズノリ）
株式会社白帆タンパク,1080001008348,食料品・飼料・飲料製造業,〒424-0052静岡県静岡市清水区北脇333,0543451792（054-345-1792）,10000（千円）,上野　勝彦（ウエノ カツヒコ）
株式会社メガロ静岡,1080001008356,その他の製造業,〒421-0106静岡県静岡市駿河区北丸子1-7-30,0542682300（054-268-2300）,10000（千円）,久野　淺男（クノ アサオ）
静岡チップ工業株式会社,1080001008380,木材・木製品製造業（家具を除く）,〒424-0065静岡県静岡市清水区長崎1042-11,0543469611（054-346-9611）,30000（千円）,代表取締役社長／妻形　博史（ツマガタ ヒロシ）
株式会社ソフトワールド・トゥエンティワン,1080001008538,電気機械器具製造業,〒424-0105静岡県静岡市清水区山切364-10,0543673181（054-367-3181）,10000（千円）,鷺坂　良平（サギサカ リヨウヘイ）
株式会社ハッピートーク,1080001008661,その他の製造業,〒424-0103静岡県静岡市清水区尾羽119-1,0543645455（054-364-5455）,10000（千円）,望月　義光（モチヅキ ヨシミツ）
テクノスマルショウ株式会社,1080001008703,一般機械器具製造業,〒424-0914静岡県静岡市清水区港南町15-1,0543346887（054-334-6887）,10000（千円）,竹下　智英（タケシタ トモヒデ）
日承工業株式会社,1080001008884,電気機械器具製造業,〒424-0053静岡県静岡市清水区渋川1-10-8,0543451312（054-345-1312）,12000（千円）,角皆　一（ツノガイ ハジメ）
株式会社フジタ,1080001009032,一般機械器具製造業,〒424-0037静岡県静岡市清水区袖師町746,0543641311（054-364-1311）,10000（千円）,代表取締役社長／藤田　佳規（フジタ ヨシノリ）
株式会社むらさき,1080001009271,食料品・飼料・飲料製造業,〒424-0051静岡県静岡市清水区北脇新田197,0543490666（054-349-0666）,10000（千円）,柴田　善次（シバタ ゼンジ）
株式会社ヤマニ森重,1080001010262,食料品・飼料・飲料製造業,〒421-3211静岡県静岡市清水区蒲原新田2-1-12,0543852534（054-385-2534）,10000（千円）,森　清（モリ キヨシ）
ｎｅｔｓ１０１株式会社,1080001010403,金属製品製造業,〒424-0105静岡県静岡市清水区山切979-5,0543645533（054-364-5533）,25000（千円）,長沢　一正（ナガサワ カズマサ）
朋和工業株式会社,1080001010502,精密機械・医療機械器具製造業,〒424-0037静岡県静岡市清水区袖師町1015-1,0543611410（054-361-1410）,2000（千円）,竹田　勉（タケダ ツトム）
株式会社アスク,1080001010667,一般機械器具製造業,〒424-0037静岡県静岡市清水区袖師町510-11,0543719570（054-371-9570）,3000（千円）,鍋田　幸範（ナベタ ユキノリ）
株式会社アドネックス,1080001011418,その他の製造業,〒421-0113静岡県静岡市駿河区下川原5-29-13,0542579177（054-257-9177）,1000（千円）,湯澤　利夫（ユザワ トシオ）
株式会社ライフ,1080001011459,出版・印刷・同関連産業,〒422-8041静岡県静岡市駿河区中田1-15-20ピーチビル3F,0542665125（054-266-5125）,3000（千円）,野村　耕（ノムラ コウ）
