会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社エヌエヌストーン,1470001000026,窯業・土石製品製造業,〒761-0130香川県高松市庵治町6390-98,0878714355（087-871-4355）,10000（千円）,中村　良治（ナカムラ リヨウジ）
株式会社大栄石材,1470001000050,窯業・土石製品製造業,〒761-0130香川県高松市庵治町6391-20,0878712691（087-871-2691）,10000（千円）,太田　秀樹（オオタ ヒデキ）
株式会社藤本造船鉄工所,1470001000059,輸送用機械器具製造業,〒761-0130香川県高松市庵治町6393-1,0878712272（087-871-2272）,10000（千円）,藤本　幹雄（フジモト ミキオ）
中谷石材株式会社,1470001000133,窯業・土石製品製造業,〒761-0121香川県高松市牟礼町牟礼3766-1,0878455006（087-845-5006）,10000（千円）,中谷　明生（ナカタニ アキオ）
綾田電機株式会社,1470001000463,電気機械器具製造業,〒761-8085香川県高松市寺井町1079,0878862518（087-886-2518）,30000（千円）,綾田　正子（アヤダ シヨウコ）
株式会社エスビーエフ,1470001000711,出版・印刷・同関連産業,〒761-8031香川県高松市郷東町792-108,0878823501（087-882-3501）,30000（千円）,小島　保紀（コジマ ヤスノリ）
三英ケミカル株式会社,1470001001560,衣服・その他の繊維製品製造業,〒761-8064香川県高松市上之町1-10-1,0878655446（087-865-5446）,10000（千円）,代表取締役社長／市原　隆遠（イチハラ タカトオ）
株式会社三陽技研,1470001001750,金属製品製造業,〒761-0312香川県高松市東山崎町1352-5,0878475225（087-847-5225）,10000（千円）,十河　悦夫（ソゴウ エツオ）
サンヨーフォーム工業株式会社,1470001001759,その他の製造業,〒761-0445香川県高松市西植田町129-7,0878491194（087-849-1194）,10000（千円）,代表取締役社長／渡辺　邦治（ワタナベ クニハル）
株式会社三和テスコ,1470001001783,金属製品製造業,〒760-0065香川県高松市朝日町4-11-67,0878214431（087-821-4431）,10000（千円）,代表取締役社長／來山　哲二（キタヤマ テツジ）
四国アドサービス株式会社,1470001001800,その他の製造業,〒761-8056香川県高松市上天神町556-1,0878682133（087-868-2133）,10000（千円）,竹内　伸治（タケウチ シンジ）
