会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社アミヨン,1490001000081,化学工業,〒780-0955高知県高知市旭天神町231,0888435557（088-843-5557）,10000（千円）,吉岡　務（ヨシオカ ツトム）
一宮生コンクリート株式会社,1490001000131,窯業・土石製品製造業,〒781-8132高知県高知市一宮東町5-34-61,0888450020（088-845-0020）,10000（千円）,代表取締役社長／山崎　一寛（ヤマサキ カツヒロ）
宇治電化学工業株式会社,1490001000230,窯業・土石製品製造業,〒780-8010高知県高知市桟橋通5-7-34,0888326161（088-832-6161）,100000（千円）,代表取締役社長／西山　彰一（ニシヤマ シヨウイチ）
株式会社小谷穀粉,1490001000305,食料品・飼料・飲料製造業,〒781-8104高知県高知市高須1-14-8,0888822645（088-882-2645）,85000（千円）,代表取締役社長／小谷　和弘（オダニ カズヒロ）
株式会社高知新聞社,1490001000619,出版・印刷・同関連産業,〒780-0870高知県高知市本町3-2-15,0888222111（088-822-2111）,98000（千円）,代表取締役社長／宮田　速雄（ミヤタ ハヤオ）
株式会社杉本中央混合所,1490001000718,石油製品・石炭製品製造業,〒781-5103高知県高知市大津乙1948,0888662412（088-866-2412）,10000（千円）,代表取締役社長／杉本　直一（スギモト ナオイチ）
株式会社こみベーカリー,1490001001063,食料品・飼料・飲料製造業,〒780-0806高知県高知市知寄町1-1-21,0888826594（088-882-6594）,10000（千円）,代表取締役社長／古味　由紀（コミ ユキ）
三洋コンクリート株式会社,1490001001105,窯業・土石製品製造業,〒780-8038高知県高知市石立町197-1,0888311105（088-831-1105）,10000（千円）,代表取締役社長／鎭田　勝文（チンダ カツフミ）
田内木材株式会社,1490001001427,木材・木製品製造業（家具を除く）,〒781-5106高知県高知市介良乙2949,0888600256（088-860-0256）,10000（千円）,田内　峯男（タノウチ ミネオ）
株式会社依光蒲鉾老舗,1490001001914,食料品・飼料・飲料製造業,〒780-0812高知県高知市若松町5-25,0888836818（088-883-6818）,10000（千円）,代表取締役社長／豊田　洋人（トヨダ ヒロト）
明和印刷株式会社,1490001002136,出版・印刷・同関連産業,〒780-0084高知県高知市南御座5-29,0888821157（088-882-1157）,30000（千円）,亀井　勝男（カメイ カツオ）
みたに産業株式会社,1490001003233,石油製品・石炭製品製造業,〒780-8086高知県高知市針木東町26-51,0888449650（088-844-9650）,20000（千円）,三谷　一美（ミタニ カズミ）
株式会社豆蔵,1490001003308,食料品・飼料・飲料製造業,〒780-0026高知県高知市秦南町1-9-29,0888237910（088-823-7910）,14000（千円）,入交　真吏（イリマジリ マリ）
