会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
アロー産業株式会社,1270001000145,電気機械器具製造業,〒689-1123鳥取県鳥取市久末86-1,0857517123（0857-51-7123）,25000（千円）,矢谷　博志（ヤタニ ヒロシ）
共栄製本株式会社,1270001000178,出版・印刷・同関連産業,〒680-0934鳥取県鳥取市徳尾125-14,0857261257（0857-26-1257）,50000（千円）,矢谷　英志（ヤタニ エイシ）
株式会社コクヨＭＶＰ,1270001000211,パルプ・紙・紙加工品製造業,〒680-0945鳥取県鳥取市湖山町南2-201,0857280241（0857-28-0241）,49600（千円）,代表取締役社長／大西　寛朗（オオニシ ヒロアキ）
三洋製紙株式会社,1270001000269,パルプ・紙・紙加工品製造業,〒680-0865鳥取県鳥取市古市185,0857237131（0857-23-7131）,91750（千円）,代表取締役社長／井川　和永（イカワ カズナガ）
株式会社シンカロン,1270001000327,電気機械器具製造業,〒680-0921鳥取県鳥取市古海301-7,0857302700（0857-30-2700）,10000（千円）,川上　聡（カワカミ サトル）
株式会社ダイトリ,1270001000392,家具・装備品製造業,〒680-1439鳥取県鳥取市金沢393-3,0857570331（0857-57-0331）,26000（千円）,代表取締役社長／鶴之園　弘（ツルノソノ ヒロシ）
株式会社テクノスフェロー,1270001000467,電気機械器具製造業,〒680-0911鳥取県鳥取市千代水3-57,0857399680（0857-39-9680）,30000（千円）,福田　敏志（フクダ サトシ）
トミタ電機株式会社,1270001000483,電気機械器具製造業,〒680-0823鳥取県鳥取市幸町123,0857228441（0857-22-8441）,1966818（千円）,代表取締役社長／神谷　哲郎（カミタニ テツロウ）
白兎生コン株式会社,1270001000616,窯業・土石製品製造業,〒680-0947鳥取県鳥取市湖山町西4-262,0857280311（0857-28-0311）,47520（千円）,代表取締役社長／加藤　宏（カトウ ヒロシ）
株式会社ファイナール,1270001000665,食料品・飼料・飲料製造業,〒680-1167鳥取県鳥取市上味野15,0857518686（0857-51-8686）,36000（千円）,代表取締役社長／門脇　康弘（カドワキ ヤスヒロ）
鳥取小野田レミコン株式会社,1270001000863,窯業・土石製品製造業,〒680-1133鳥取県鳥取市源太7-1,0857530241（0857-53-0241）,10000（千円）,吉永　昌雄（ヨシナガ マサオ）
株式会社鳥取平版社,1270001000954,出版・印刷・同関連産業,〒680-0845鳥取県鳥取市富安1-79,0857247311（0857-24-7311）,40000（千円）,代表取締役社長／藤井　三郎（フジイ サブロウ）
株式会社カスミ,1270001000987,"繊維工業（衣服,その他の繊維製品を除く）",〒681-0003鳥取県岩美郡岩美町浦富1765-1,0857721435（0857-72-1435）,30000（千円）,代表取締役社長／高垣　洋（タカガキ ヒロシ）
植田漁具株式会社,1270001002026,その他の製造業,〒689-0425鳥取県鳥取市鹿野町今市476-1,0857842028（0857-84-2028）,10000（千円）,植田　公平（ウエタ コウヘイ）
株式会社モリシタ,1270001002208,木材・木製品製造業（家具を除く）,〒680-0601鳥取県八頭郡八頭町北山74-1,0858843026（0858-84-3026）,20000（千円）,森下　伸一郎（モリシタ シンイチロウ）
株式会社国英製作所,1270001002240,電気機械器具製造業,〒680-1216鳥取県鳥取市河原町釜口802,0858851224（0858-85-1224）,10000（千円）,佐藤　茂（サトウ シゲル）
佐治川産業株式会社,1270001002331,パルプ・紙・紙加工品製造業,〒689-1312鳥取県鳥取市佐治町高山154,0858880321（0858-88-0321）,10000（千円）,上田　公実（ウエタ キミノリ）
北村企画株式会社,1270001002777,衣服・その他の繊維製品製造業,〒681-0003鳥取県岩美郡岩美町浦富1032-1,0857731345（0857-73-1345）,3000（千円）,北村　一行（キタムラ カズユキ）
イカリ商事株式会社,1270001003115,化学工業,〒683-0853鳥取県米子市両三柳363-4,0859214572（0859-21-4572）,10000（千円）,原田　雅夫（ハラダ マサオ）
日本エスタ株式会社,1270001003494,輸送用機械器具製造業,〒683-0103鳥取県米子市富益町3614,0859256655（0859-25-6655）,17000（千円）,木村　俊司（キムラ シユンジ）
