会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
桜島生コンクリート株式会社,1340001000006,窯業・土石製品製造業,〒891-1420鹿児島県鹿児島市桜島赤水町900-7,0992932910（099-293-2910）,50000（千円）,森　泰幸（モリ ヤスユキ）
株式会社省力化技研,1340001000063,電気機械器具製造業,〒899-3101鹿児島県日置市日吉町日置3052-1,0992923000（099-292-3000）,10000（千円）,加藤　浩晃（カトウ ヒロアキ）
株式会社鹿児島北斗製作所,1340001000071,その他の製造業,〒891-1107鹿児島県鹿児島市有屋田町208,0992982345（099-298-2345）,10000（千円）,稲村　昭人（イナムラ アキト）
株式会社ハラダ精工,1340001000088,一般機械器具製造業,〒891-1106鹿児島県鹿児島市西俣町1307-2,0992983520（099-298-3520）,10000（千円）,東　和良（ヒガシ カズヨシ）
株式会社ヒガシマル,1340001000162,食料品・飼料・飲料製造業,〒899-2505鹿児島県日置市伊集院町猪鹿倉20,0992733859（099-273-3859）,603900（千円）,代表取締役社長／東　紘一郎（ヒガシ コウイチロウ）
株式会社お茶の知覧茶屋,1340001000757,食料品・飼料・飲料製造業,〒892-0832鹿児島県鹿児島市新町4-1,0992231464（099-223-1464）,10000（千円）,赤崎　正博（アカザキ マサヒロ）
鹿児島ドック鉄工株式会社,1340001000971,輸送用機械器具製造業,〒891-0132鹿児島県鹿児島市七ツ島1-2-2,0992617878（099-261-7878）,50000（千円）,代表取締役社長／野元　達美（ノモト タツミ）
三州産業株式会社,1340001001994,一般機械器具製造業,〒891-0122鹿児島県鹿児島市南栄4-11-2,0992691821（099-269-1821）,80000（千円）,代表取締役社長／高崎　征忠（タカサキ ユキタダ）
昭和製菓株式会社,1340001002200,食料品・飼料・飲料製造業,〒890-0053鹿児島県鹿児島市中央町2-1,0992553131（099-255-3131）,10000（千円）,有村　吉朗（アリムラ ヨシロウ）
株式会社スペース・プラン,1340001002290,出版・印刷・同関連産業,〒891-0115鹿児島県鹿児島市東開町4-90,0992608771（099-260-8771）,10000（千円）,柳田　博文（ヤナギダ ヒロフミ）
中央印刷株式会社,1340001002761,出版・印刷・同関連産業,〒892-0804鹿児島県鹿児島市春日町12-16,0992473300（099-247-3300）,10000（千円）,中村　博大（ナカムラ ヒロオ）
株式会社南方新社,1340001003173,出版・印刷・同関連産業,〒892-0873鹿児島県鹿児島市下田町292-1,0992485455（099-248-5455）,20000（千円）,向原　祥隆（ムコハラ ヨシタカ）
濱島印刷株式会社,1340001003537,出版・印刷・同関連産業,〒890-0052鹿児島県鹿児島市上之園町17-2,0992556121（099-255-6121）,10000（千円）,代表取締役社長／前田　幸一（マエダ コウイチ）
富士鉄工株式会社,1340001003751,金属製品製造業,〒890-0032鹿児島県鹿児島市西陵1-38-6,0992968575（099-296-8575）,25000（千円）,藤崎　隆（フジサキ タカシ）
株式会社マルモ,1340001004048,食料品・飼料・飲料製造業,〒891-0131鹿児島県鹿児島市谷山港2-1-4,0992620921（099-262-0921）,88000（千円）,代表取締役社長／大茂　為継（オオシゲ タメツグ）
南九州飼料工業株式会社,1340001004106,食料品・飼料・飲料製造業,〒891-0131鹿児島県鹿児島市谷山港1-4-11,0992842151（099-284-2151）,12000（千円）,松元　久己（マツモト ヒサミ）
薩南工業株式会社,1340001005392,窯業・土石製品製造業,〒891-0204鹿児島県鹿児島市喜入一倉町5809-28,0993452766（099-345-2766）,11500（千円）,池堂　龍一（イケドウ リユウイチ）
三和酒造株式会社,1340001005426,食料品・飼料・飲料製造業,〒891-0132鹿児島県鹿児島市七ツ島1-1-17,0992618555（099-261-8555）,10000（千円）,代表取締役社長／岩元　則之（イワモト ノリユキ）
株式会社ＹＳフーズ,1340001006325,食料品・飼料・飲料製造業,〒892-0833鹿児島県鹿児島市松原町12-22,0992227201（099-222-7201）,3000（千円）,山口　大悟（ヤマグチ ダイゴ）
株式会社櫻岳,1340001006424,食料品・飼料・飲料製造業,〒890-0067鹿児島県鹿児島市真砂本町1-12-4ベルメゾン真砂201,0992087000（099-208-7000）,10000（千円）,八木　伸一郎（ヤギ シンイチロウ）
株式会社ＧＮファクトリー,1340001006705,衣服・その他の繊維製品製造業,〒890-0023鹿児島県鹿児島市永吉1-35-7,0992545952（099-254-5952）,3000（千円）,野元　真純（ノモト マスミ）
大口電子株式会社,1340001007447,"鉄鋼業,非鉄金属製造業",〒895-2501鹿児島県伊佐市大口牛尾1755-2,0995227511（0995-22-7511）,1000000（千円）,代表取締役社長／柳沼　希世史（ヤギヌマ キヨシ）
さつま司酒造株式会社,1340001007892,食料品・飼料・飲料製造業,〒899-5212鹿児島県姶良市加治木町諏訪町200,0995633161（0995-63-3161）,12000（千円）,河井　敬司（カワイ ケイジ）
九州紙管株式会社,1340001008503,パルプ・紙・紙加工品製造業,〒899-1924鹿児島県薩摩川内市港町360-21,0996295450（0996-29-5450）,10000（千円）,葎迫　利郎（ムクラサコ トシロウ）
株式会社共栄,1340001008511,金属製品製造業,〒895-0007鹿児島県薩摩川内市百次町366,0996223672（0996-22-3672）,10000（千円）,杉村　守平（スギムラ シユヘイ）
川内印刷株式会社,1340001008560,出版・印刷・同関連産業,〒895-0024鹿児島県薩摩川内市鳥追町10-14,0996226158（0996-22-6158）,10000（千円）,濱田　展至（ハマダ ノブヨシ）
中園機工株式会社,1340001008627,一般機械器具製造業,〒895-0211鹿児島県薩摩川内市高城町1750-1,0996234592（0996-23-4592）,13300（千円）,代表取締役社長／中園　洋司（ナカゾノ ヨウジ）
上野バーク林産加工株式会社,1340001009039,食料品・飼料・飲料製造業,〒899-2102鹿児島県いちき串木野市川上4297,0996363197（0996-36-3197）,10000（千円）,上野　英久（ウエノ ヒデヒサ）
中村酒造株式会社,1340001010145,食料品・飼料・飲料製造業,〒891-7612鹿児島県大島郡天城町平土野43-12,0997852016（0997-85-2016）,10000（千円）,中村　功（ナカムラ イサオ）
渕上生コンクリート株式会社,1340001010153,窯業・土石製品製造業,〒891-7101鹿児島県大島郡徳之島町亀津5552-2,0997822800（0997-82-2800）,10000（千円）,渕上　平八郎（フチガミ ヘイハチロウ）
株式会社栄興,1340001010252,金属製品製造業,〒891-9214鹿児島県大島郡知名町知名2068,0997935013（0997-93-5013）,10000（千円）,福　西興（フク ニシオキ）
南西コンクリート工業株式会社,1340001010269,窯業・土石製品製造業,〒891-9136鹿児島県大島郡和泊町瀬名1141-1,0997921800（0997-92-1800）,30000（千円）,西　利信（ニシ トシノブ）
株式会社アーダン,1340001010517,化学工業,〒894-0007鹿児島県奄美市名瀬和光町7-8,0997542378（0997-54-2378）,89999（千円）,西　博人（ニシ ヒロヒト）
瀬戸内生コン株式会社,1340001010863,窯業・土石製品製造業,〒894-1511鹿児島県大島郡瀬戸内町阿木名427,0997722573（0997-72-2573）,10000（千円）,緑　健児（ミドリ ケンジ）
株式会社ミネックス,1340001011052,窯業・土石製品製造業,〒891-6152鹿児島県大島郡喜界町早町123,0997660727（0997-66-0727）,4000（千円）,峰山　恵一（ミネヤマ ケイイチ）
上野食品株式会社,1340001011713,食料品・飼料・飲料製造業,〒899-1604鹿児島県阿久根市山下7607,0996731500（0996-73-1500）,10000（千円）,上野　康子（ウエノ ヤスコ）
